Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0B8VyE9lyRg7ABx8lUyEDY,"3gfeKrOBLlmoaUXfGJzmS5","Wedding Ballet","Wedding Ballet","Austin Farwell",2022-10-05,99666,47,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2022-10-07T06:32:01Z,"",0.214,0.195,5,-20.248,1,0.0334,0.942,0.943,0.113,0.106,90.849,4
1aQkTdtO9dK5rAF5bkbxAk,"3gfeKrOBLlmoaUXfGJzmS5","Stars in Catalina","Stars in Catalina","Austin Farwell",2022-09-06,154921,44,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2022-09-09T03:45:27Z,"",0.191,0.025,2,-27.837,1,0.0344,0.989,0.899,0.0721,0.0653,86.623,4
55c1yxcpzvjHyNKLRcFCLJ,"3gfeKrOBLlmoaUXfGJzmS5","Magic Moments","Magic Moments","Austin Farwell",2022-06-29,92542,53,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2022-07-02T00:56:03Z,"",0.325,0.0317,7,-27.16,1,0.0386,0.986,0.928,0.133,0.096,125.74,4
4GcJLYwE3ZectddAsL50pI,"3gfeKrOBLlmoaUXfGJzmS5","Dreaming","Dreaming","Austin Farwell",2022-05-24,107107,51,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2022-07-06T15:05:35Z,"",0.237,0.0451,4,-25.162,1,0.0428,0.973,0.891,0.105,0.184,165.467,4
2eNGGlykvjQyStOU7DBHvE,"3gfeKrOBLlmoaUXfGJzmS5","Drifting Away","Drifting Away","Austin Farwell",2022-07-26,165365,50,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2022-08-01T05:59:35Z,"",0.324,0.00789,0,-29.613,1,0.0392,0.988,0.874,0.0993,0.0738,127.994,4
1LNrPxRlSkIROZIZ4ldKoH,"3gfeKrOBLlmoaUXfGJzmS5","Deep Breaths","Deep Breaths","Austin Farwell",2022-03-08,138905,51,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2022-03-08T07:02:38Z,"",0.295,0.0433,4,-25.464,1,0.0373,0.976,0.905,0.0992,0.0523,137.592,4
6h6runZeeczWEuEW2pFvYW,"3gfeKrOBLlmoaUXfGJzmS5","New Home (Slowed)","New Home (Slowed)","Austin Farwell",2021-05-26,174521,67,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2022-06-03T02:09:09Z,"",0.356,0.00558,11,-27.72,1,0.0417,0.99,0.934,0.0991,0.122,70.012,4
4DuqewHH7zlFgJvJ3kO7sd,"3gfeKrOBLlmoaUXfGJzmS5","Take Me Away","Take Me Away","Austin Farwell",2020-12-29,96663,60,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2021-12-27T00:09:58Z,"",0.202,0.0623,3,-22.738,1,0.0577,0.983,0.895,0.101,0.0377,166.753,3
4wurHrfvk9zXdcgFuRVwtj,"3gfeKrOBLlmoaUXfGJzmS5","Evening Sky","Evening Sky","Austin Farwell",2022-01-29,131931,56,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2022-02-02T19:29:42Z,"",0.227,0.0585,7,-23.45,1,0.0339,0.967,0.912,0.11,0.0348,78.986,3
25b7fqfmk1yDyWcmoiiAkd,"3gfeKrOBLlmoaUXfGJzmS5","High Above","High Above","Austin Farwell",2020-09-09,77531,58,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2021-12-27T00:10:42Z,"",0.277,0.097,7,-23.615,1,0.0365,0.947,0.935,0.106,0.133,59.328,3
6jaUC7hiJi9josKZia7oLA,"3gfeKrOBLlmoaUXfGJzmS5","Stillness","Stillness","Austin Farwell",2022-06-16,134467,38,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2022-06-17T08:47:14Z,"",0.415,0.0171,3,-24.976,1,0.05,0.984,0.895,0.123,0.0965,113.259,3
6kL1QfSrR5K2GYX6It8EQb,"3gfeKrOBLlmoaUXfGJzmS5","I got u","I got u","Austin Farwell",2022-04-26,136336,37,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2022-05-03T07:45:41Z,"",0.253,0.0217,3,-24.839,1,0.0487,0.99,0.918,0.112,0.0619,67.714,4
7CcNtj0n4GiioFasxa9Nfc,"3gfeKrOBLlmoaUXfGJzmS5","Dreamscape","Dreamscape","Austin Farwell",2021-01-17,114426,57,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2021-12-27T00:10:05Z,"",0.346,0.00441,7,-25.627,1,0.0394,0.987,0.911,0.0942,0.151,77.182,1
7pcGcVUN9m12lfNuS3Xz8I,"3gfeKrOBLlmoaUXfGJzmS5","Once Upon a Time","Once Upon a Time","Austin Farwell",2022-02-01,92592,58,spotify:user:22odsuw4chg6a2xo3rfvrvymi,2022-02-02T19:29:29Z,"",0.346,0.0227,6,-25.447,1,0.0387,0.982,0.921,0.0976,0.0611,69.424,5
