Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7ARveOiD31w2Nq0n5FsSf8,"163tK9Wjr9P9DmM0AVK7lm","Perfect Places","Melodrama","Lorde",2017-06-16,221874,70,spotify:user:,2020-01-09T23:29:46Z,"art pop,metropopolis,nz pop,pop",0.622,0.58,1,-5.273,0,0.0504,0.00241,0.0000295,0.112,0.512,104.41,4
2U2Z1IXnmJIvlknWizFykZ,"70kkdajctXSbqSMJbQO424","High Horse","Golden Hour","Kacey Musgraves",2018-03-30,213693,62,spotify:user:,2020-01-09T23:29:46Z,"country dawn,pop,texas country",0.725,0.674,11,-5.254,0,0.0363,0.0325,0.00000355,0.0531,0.773,120.057,4
7G60uaX5IxziejL3S9mDcE,"3vn7rk7VNMfDhuZNB9sDYP,0NnyKz36MvIC2R3dFht35A","Boys Like You","Falling & Flying","360,Gossling",2011-09-30,220626,25,spotify:user:,2020-01-09T23:29:46Z,"australian hip hop,australian pop,australian underground hip hop,pop rap,australian indie",0.702,0.683,3,-8.567,0,0.134,0.0042,0,0.134,0.5,145.962,4
3GCdLUSnKSMJhs4Tj6CV3s,"2YZyLoL8N0Wb9xBt1NhZWg,7tYKF4w9nC0nq9CsPZTHyP","All The Stars (with SZA)","Black Panther The Album Music From And Inspired By","Kendrick Lamar,SZA",2018-02-09,232186,83,spotify:user:,2020-01-09T23:29:46Z,"conscious hip hop,hip hop,rap,west coast rap,pop,r&b",0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4
3XF5xLJHOQQRbWya6hBp7d,"6qqNVTkY8uBg9cP3Jd7DAH","you should see me in a crown","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,180952,77,spotify:user:,2020-01-09T23:29:46Z,"art pop,electropop,pop",0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,4
02oAUzv4M0ItuTDy2RT3IT,"163tK9Wjr9P9DmM0AVK7lm","Homemade Dynamite","Melodrama","Lorde",2017-06-16,189796,62,spotify:user:,2020-01-09T23:29:46Z,"art pop,metropopolis,nz pop,pop",0.771,0.431,10,-5.423,1,0.0577,0.287,0.00000275,0.0934,0.268,107.047,4
4NiehSBQthimPzRsVeOgCT,"3WGpXCj9YhhfX11TToZcXP","My My My!","Bloom","Troye Sivan",2018-08-31,204726,64,spotify:user:,2020-01-09T23:29:46Z,"australian pop,dance pop,pop,viral pop",0.701,0.458,1,-7.749,1,0.0836,0.00407,0.000151,0.045,0.482,102.967,4
6Apozxrk03AIyQwyswUjbt,"11gWrKZMBsGQWmobv3oNfW","Church","Awake","Alison Wonderland",2018-04-06,183912,50,spotify:user:,2020-01-09T23:29:46Z,"aussietronica,edm,electra,electro house,electronic trap,escape room,indietronica",0.551,0.681,10,-4.873,0,0.0401,0.0251,0,0.481,0.227,94.052,4
6g0Orsxv6glTJCt4cHsRsQ,"6vWDO969PvNqNYHIOW5v0m","Formation","Lemonade","Beyoncé",2016-04-23,206080,71,spotify:user:,2020-01-09T23:29:46Z,"dance pop,pop,r&b",0.896,0.621,5,-6.857,0,0.237,0.00532,0,0.196,0.818,121.966,4
7i2DJ88J7jQ8K7zqFX2fW8,"26VFTg2z8YR0cCuwLzESi2","Now Or Never","hopeless fountain kingdom (Deluxe)","Halsey",2017-06-02,214801,65,spotify:user:,2020-01-09T23:29:46Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.67,0.585,6,-4.861,0,0.0354,0.107,0.00000111,0.131,0.447,110.03,4
