Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
297ZF3Zp0VFLY21qZ4bQ6W,"4zAOqBfNLyWFvj1e3yvypJ","Diamonds","Diamonds","Catching Flies",2022-03-22,124451,56,spotify:user:,2022-09-09T08:08:38Z,"downtempo,electronica,indie dream pop,indie soul,new french touch,vapor soul,vapor twitch",0.384,0.0752,11,-16.034,1,0.0418,0.959,0.904,0.11,0.185,70.852,4
0JF3Ju6TpQjwnnH10B9kpu,"559oW3wcVAW5tcL1DQniyf","Drunken Clouds","Drunken Clouds","rRoxymore",2022-05-20,253701,35,spotify:user:,2022-09-09T08:08:38Z,"experimental electronic,float house",0.566,0.666,0,-9.76,1,0.0298,0.121,0.827,0.148,0.0974,97.006,4
3rI6J22xq3t8RDpxIOBo1C,"7Eu1txygG6nJttLHbZdQOh","Parallel 6","Parallel","Four Tet",2020-12-25,306970,54,spotify:user:,2022-09-09T08:08:38Z,"electronica,folktronica,intelligent dance music",0.711,0.635,4,-13.168,0,0.0537,0.66,0.96,0.194,0.646,124.034,4
4zCWCBENCHWgSag7BXsuJL,"4gFsE3BJKgBw4VdueiIrEl","Ghosted","Ghosted","Sonny Side Up",2019-03-19,157557,39,spotify:user:,2022-09-09T08:08:38Z,"chill beats",0.639,0.822,10,-9.671,1,0.0459,0.00955,0.673,0.0886,0.035,127.99,4
69uPNh3b6VKdMZMbIKYQ1l,"7wXTWO45lqpUejDkike0Gf","By Your Side","By Your Side","Sofia Kourtesis",2021-02-23,367362,53,spotify:user:,2022-09-09T08:08:38Z,"electronica,experimental house",0.887,0.823,5,-7.57,0,0.0462,0.0237,0.731,0.593,0.641,121.993,4
1iMvxadzH2UWvBwRwq0ikq,"7vaj5cQvg06YNTvaQP2Kla","NOVEMBRE13_","NOVEMBRE13_","JoyCut",2022-05-20,335253,35,spotify:user:,2022-09-09T08:08:38Z,"",0.0616,0.155,0,-16.772,1,0.0443,0.909,0.903,0.119,0.0362,49.81,3
5i0EqAX50KcKNgMDMHZndM,"2AR42Ur9PcchQDtEdwkv4L,3JLUCojZaHrX2LaUkSj7Ud,5yxyJsFanEAuwSM5kOuZKc","Movement 6","Promises","Floating Points,Pharoah Sanders,London Symphony Orchestra",2021-03-26,530894,49,spotify:user:,2022-09-09T08:08:38Z,"electronica,microhouse,uk bass,avant-garde jazz,free jazz,hard bop,jazz,jazz funk,jazz saxophone,spiritual jazz,british orchestra,classical,classical performance,orchestra",0.114,0.258,0,-14.626,0,0.0345,0.807,0.803,0.18,0.0733,89.151,4
5pbpePKq40EPcbfQSlFHD3,"3fmMaLC5jjf2N4EC2kTx0u","Flush with Love","Mirror Mountain","Hermitude",2022-05-06,295198,40,spotify:user:,2022-09-09T08:08:38Z,"australian dance,downtempo,edm,electronic trap,escape room",0.483,0.578,2,-10.505,0,0.0658,0.376,0.36,0.167,0.0507,107.932,4
4M7bnpKyvmXMuoZe10hnki,"36tUphbhaRrmHNS6reORr5","Keep Shimmering","Please Keep Shimmering","Tom VR",2021-09-22,263842,48,spotify:user:,2022-09-09T08:08:38Z,"float house,lo-fi house",0.616,0.648,1,-9.085,0,0.12,0.196,0.755,0.0903,0.0513,80.99,4
5Ioj1kDqb1DSvbEFVb7A0g,"41gxyJbzbAaChEyrZ9j3rv","Truly","Truly","Ouri",2021-07-05,191809,27,spotify:user:,2022-09-09T08:08:38Z,"electra,montreal indie",0.546,0.193,1,-10.457,1,0.0342,0.14,0.00942,0.0922,0.0584,133.923,4
2d0YkF9qWbyqoNjarHSF1R,"4BgSaBlB2eULHaOUtXSgys,6OgMBOUaAfkEfWkEFkXpbL","Waiting on You","Waiting on You","Solicit,Geller",2021-02-26,247559,37,spotify:user:,2022-09-09T08:08:38Z,"",0.481,0.382,11,-12.513,0,0.0873,0.697,0.845,0.143,0.0755,127.134,4
1sfqPyzweozuYYP7Xg9d7i,"5xEcI8Vn4ofUa5tLHNNlkV,06xa1OLBsMQJFXcl2tQkH4","baxter climb","elysian","tstewart,Machinedrum",2022-04-15,274860,35,spotify:user:,2022-09-09T08:08:38Z,"deep idm,uk bass,footwork,glitch,glitch hop,halftime dnb,intelligent dance music,minimal dnb,wonky",0.338,0.636,11,-10.945,0,0.0465,0.278,0.927,0.117,0.113,121.876,4
2y7z3SBPKKfROdIy68k8nV,"27qW5yvSvPiHckSv1EaQ7v","rainbow song","psychedelic fishing","Cesourius",2022-07-19,132631,39,spotify:user:,2022-09-09T08:08:38Z,"",0.198,0.39,5,-11.109,1,0.0327,0.952,0.896,0.134,0.134,151.815,3
25HisYhsb9dXkcFQJC7FgL,"5vU14I6K6uuqrxsP1jyoCy","Dero","Dero","Heith",2022-09-06,277524,30,spotify:user:,2022-09-09T08:08:38Z,"deconstructed club,new isolationism",0.468,0.425,2,-19.212,0,0.0382,0.8,0.738,0.352,0.273,164.051,4
3vKRwlgJ0KHvoP1wyKONr7,"3V0CkmupRFH97LSOafzfbc","Electric Counterpoint","Electric Counterpoint","Third Son",2021-06-11,263773,32,spotify:user:,2022-09-09T08:08:38Z,"",0.677,0.901,4,-8.086,0,0.0979,0.953,0.958,0.115,0.705,195.004,3
10xSbuKDUbR4mmFUzgHoox,"2ABEVwxsESCBsCBjN6qFru","Hard Luck Story","ashbalkum","Salamanda",2022-06-10,211250,30,spotify:user:,2022-09-09T08:08:38Z,"float house,fourth world,j-ambient,microhouse,spectra",0.749,0.495,1,-13.832,1,0.0736,0.00741,0.853,0.09,0.447,101.026,4
6gNbfcv65cxFNPzIMQkVuS,"5v0lzsRGgOxJ0FdpvokBv8","Minority","STUDY: Buttercream Bookworm","Letsko",2022-01-14,198906,39,spotify:user:,2022-09-09T08:08:38Z,"",0.726,0.263,2,-16.076,1,0.0498,0.918,0.897,0.189,0.0778,125.981,4
3NWMuq1k1DJNXaHU0m7GDj,"2h3ZcRa4CSTILfWC4RRgZJ","Drip! Drip! Drip!","Dosages, Vol. 2","Jorge Milliano",2021-08-23,120000,39,spotify:user:,2022-09-09T08:08:38Z,"",0.714,0.344,8,-9.478,1,0.487,0.614,0.826,0.136,0.358,195.939,4
1OLc2YhGIk8tUIh9mKJtHW,"4OqPJ30qlGQwp9kTwrj9ER","Changing Tides","Hypernatural","Hypernatural",2022-01-14,259488,35,spotify:user:,2022-09-09T08:08:38Z,"",0.708,0.31,0,-12.445,1,0.0881,0.75,0.846,0.0801,0.753,95.02,4
2pDRvH3skxK0Z7mBCmLYs2,"41gxyJbzbAaChEyrZ9j3rv,5kA25TZjzmQtCEFCIAwlOE","Felicity","Frame of a Fauna","Ouri,Antoniya",2021-10-22,230000,30,spotify:user:,2022-09-09T08:08:38Z,"electra,montreal indie",0.485,0.303,1,-12.112,0,0.0357,0.917,0.0845,0.135,0.161,79.006,4
3IneYkIxkwFCdb68hICqWA,"1iXLcpr2SlUwrU2oCP8nI9","Terrace Rain","Terrace Rain/Grid Search","afternoon bike ride",2021-07-23,176548,36,spotify:user:,2022-09-09T08:08:38Z,"",0.797,0.219,0,-15.066,1,0.0736,0.837,0.338,0.131,0.132,112.006,4
1gr3wnx384k5kcQAs2S1FA,"5x183GdNFhX9FETwGNpOZE","memphis","memphis","Remy Van Kesteren",2022-03-11,194026,34,spotify:user:,2022-09-09T08:08:38Z,"classical harp",0.466,0.694,4,-15.459,0,0.044,0.67,0.839,0.104,0.417,199.963,4
4bN14h0cAjKYGS7GqfKjBp,"2fJlM9auuKkUvBgcZ1RY6d,0z0xZ00PVGWHUEIKPa5UEv","Gjuijar","The Knees Start to Go","Flanafi,Ape School",2021-05-25,281538,39,spotify:user:,2022-09-09T08:08:38Z,"psychedelic soul,deep indie pop",0.649,0.558,6,-12.245,1,0.0333,0.721,0.893,0.15,0.686,104.017,4
0sts2lyM27TXVhRUo5uTEx,"33Cf4O1KAVbtQa00scMi2A","Don’t Leave Me Alone","Don't Leave Me Alone","AK",2022-04-15,182769,38,spotify:user:,2022-09-09T08:08:38Z,"",0.421,0.397,1,-17.275,1,0.873,0.962,0.852,0.142,0.148,130.102,4
7BijkGObSbahOwYpriNHPh,"2ABBMkcUeM9hdpimo86mo6","A Dedication","Inside Out","Tourist",2022-05-20,227603,45,spotify:user:,2022-09-09T08:08:38Z,"chillwave,electronica,indie soul,tropical house,vapor soul",0.698,0.795,4,-8.725,0,0.0497,0.152,0.613,0.0912,0.0666,126.504,4
3vWW4WpAcWIny0Va4TsB1B,"0WwAYiS9iUf3VNUqRniJsi","If It Gets Too Much","If It Gets Too Much","Dejector",2021-06-11,232097,33,spotify:user:,2022-09-09T08:08:38Z,"",0.719,0.617,11,-12.977,0,0.634,0.345,0.00224,0.0805,0.436,123.032,4
6hBn3ujYOMYKwTF1fXgQMS,"4LC4vkseYrSEDd6MjZvOO9","Blob On The Lawn","The Seed (Original Score)","Lucrecia Dalt",2022-03-11,172983,29,spotify:user:,2022-09-09T08:08:38Z,"art pop,chamber psych,electra,experimental pop,spectra",0.624,0.118,2,-20.975,1,0.0485,0.0119,0.141,0.11,0.08,158.853,3
2Ob9Vy4ijaPgJpDYvU0Ufa,"61WgG5fz5ilJrMne7tE1zu","Terminal Clock","Terminal Clock","Caterina Barbieri",2022-06-15,301186,26,spotify:user:,2022-09-09T08:08:38Z,"ambient,art pop,deconstructed club,electra,experimental ambient,experimental synth,fluxwork,italian experimental,microhouse,modular synth,new isolationism,spectra",0.614,0.818,0,-6.33,1,0.0499,0.01,0.171,0.523,0.49,110.04,4
6pi5qNuLjF24MLc8Yk4tFu,"0IVapwlnM3dEOiMsHXsghT,57okaLdCtv3nVBSn5otJkp","We Are (우리는)","We Are (우리는)","Nosaj Thing,혁오",2022-09-07,226036,42,spotify:user:,2022-09-09T08:08:38Z,"chillwave,electronica,glitch hop,microhouse,uk bass,wonky,k-indie,korean indie folk,korean r&b",0.691,0.513,5,-13.232,0,0.0506,0.662,0.866,0.169,0.343,130.015,4
2FCu1NM98eXCds1M0ikzWj,"0gXx2aQ2mfovDfqCw10MQC","Everything All at Once","The Ineffable Truth","G Jones",2018-10-26,268160,41,spotify:user:,2022-09-09T08:08:38Z,"edm,electronic trap,future bass,vapor twitch",0.291,0.43,6,-10.884,1,0.0674,0.832,0.688,0.114,0.037,67.643,4
5sUKkQzT6ZrCQPV65hnkx8,"4zAOqBfNLyWFvj1e3yvypJ","Orsay","Orsay","Catching Flies",2022-06-30,246363,50,spotify:user:,2022-09-09T08:08:38Z,"downtempo,electronica,indie dream pop,indie soul,new french touch,vapor soul,vapor twitch",0.535,0.569,7,-11.327,0,0.0335,0.125,0.524,0.112,0.089,120.004,4
47ori6qygCRe9K0iym4pns,"2TGknI5Y6WbbxgvzVodku6","Redcloud","Redcloud","E-Saggila",2020-10-01,291968,23,spotify:user:,2022-09-09T08:08:38Z,"deconstructed club,new isolationism",0.172,0.536,1,-13.725,1,0.0949,0.0117,0.801,0.41,0.518,110.078,1
5syPwaSJSzNSB6ufaE6sI9,"4SQdUpG4f7UbkJG3cJ2Iyj","Violo","Madre","Arca",2021-01-22,427428,26,spotify:user:,2022-09-09T08:08:38Z,"ai,art pop,deconstructed club,escape room,experimental pop,fluxwork,pop",0.388,0.266,9,-18.587,1,0.0489,0.929,0.897,0.108,0.0504,113.067,4
4heqKrhIECpVTUgAAoJUVa,"52mz9PgySAnFsUn6YoW8YG","No Motivation, Meaningless","No Motivation, Meaningless","Trudge",2022-02-04,340540,29,spotify:user:,2022-09-09T08:08:38Z,"lo-fi house",0.586,0.846,1,-7.861,0,0.0519,0.00416,0.73,0.114,0.143,147.98,4
2XzrDd0L0mqiksI6mfnWyj,"3TQ2taKTip3uFICbu5aIJq","The Ground Beneath","Sun Strut EP","Jesse Bru",2022-07-15,310760,34,spotify:user:,2022-09-09T08:08:38Z,"disco house,float house",0.789,0.933,11,-7.987,0,0.0736,0.00361,0.714,0.137,0.361,131.02,4
29cm9i5SgSLeygfzBMQPMd,"759jaawE6btqp3Wh9GM9S9","Radio","Radio","Pandit Pam Pam",2021-08-12,153986,32,spotify:user:,2022-09-09T08:08:38Z,"eletronica underground brasileira",0.724,0.44,8,-13.092,0,0.0839,0.879,0.913,0.124,0.571,117.006,4
7lecTWibaxA2u3Bdx3j9lJ,"2ABEVwxsESCBsCBjN6qFru","Sharing Prosperity","Sharing Prosperity","Salamanda",2022-06-02,311717,36,spotify:user:,2022-09-09T08:08:38Z,"float house,fourth world,j-ambient,microhouse,spectra",0.43,0.34,11,-17.685,0,0.0462,0.886,0.946,0.142,0.148,164.141,4
3cWTD0xf26hE018sK2S6Xh,"1iXLcpr2SlUwrU2oCP8nI9","Couch Party","Skipping Stones","afternoon bike ride",2021-03-26,187663,44,spotify:user:,2022-09-09T08:08:38Z,"",0.678,0.34,0,-11.47,1,0.0517,0.608,0.00492,0.298,0.192,87.975,4
7I8ekwvvCq0gaxBMaxco3l,"4MrQDA45Gd0llLrwFUzimG,3a9URpZNieaALIw6ZjU4Tk","No Motivation","No Motivation","Flawed Mangoes,Von Sell",2020-11-13,255512,42,spotify:user:,2022-09-09T08:08:38Z,"chill pop",0.552,0.646,11,-4.802,1,0.0646,0.232,0.559,0.0885,0.155,77.643,4
1uescVu7fcevtmnW9vps7A,"2bYCvT1nqpbbspU5DZG5nA","LADDE","ADDLE","Bogdan Raczynski",2022-03-18,244002,22,spotify:user:,2022-09-09T08:08:38Z,"braindance,deep idm,drill and bass,glitchbreak,intelligent dance music",0.526,0.545,7,-11.075,1,0.0444,0.742,0.701,0.11,0.162,139.968,4
1biT6m3iWTTZqvEjAXeQbC,"2YfqCdQFDp4c0s8F5Lkk4z","God Over Money","Icons","Eli Keszler",2021-06-25,216700,23,spotify:user:,2022-09-09T08:08:38Z,"fourth world,free improvisation,mandible,sound art",0.424,0.22,9,-17.21,1,0.0327,0.683,0.748,0.11,0.0381,120.122,4
6G53ZfzbO0i5Z4lH5hYosE,"5MKqWyqq5CStK7AhkTvzQF,6AqgmEZ2rlzhMSPw8ZSShZ","Spotlights - Soela's Ambient Reprise","Spotlights (Soela's Ambient Reprise)","Fort Romeau,Soela",2022-06-02,363755,31,spotify:user:,2022-09-09T08:08:38Z,"float house,microhouse,experimental house",0.168,0.316,6,-20.455,0,0.133,0.631,0.936,0.12,0.0466,78.585,3
29v3pHTKuYzcCvW1Y6Dgp3,"5oLxJrktO7kOEJANS6nkZB","Before","Wave000 (2017 Unreleased)","Alex Lustig",2022-02-11,142759,40,spotify:user:,2022-09-09T08:08:38Z,"new french touch,vapor soul,vapor twitch",0.313,0.413,1,-13.632,0,0.267,0.942,0.647,0.0726,0.0758,91.86,5
78aJqO5ASq0ghF33iUjRbM,"3pmKFMgS4y92IFbNj8EqmY","Masks Off","Masks Off","Yvois",2021-05-24,253980,35,spotify:user:,2022-09-09T08:08:38Z,"nz electronic",0.669,0.912,0,-6.754,1,0.224,0.301,0.0112,0.475,0.781,172.016,4
0DbDPy9K2mLuIBE6ai2XaU,"759jaawE6btqp3Wh9GM9S9","Cabaraú","Cabaraú","Pandit Pam Pam",2022-01-14,392107,37,spotify:user:,2022-09-09T08:08:38Z,"eletronica underground brasileira",0.565,0.465,9,-12.059,0,0.0337,0.918,0.446,0.114,0.584,105.152,4
0ihmZ14TyzjrjO390cP1Oo,"6yvENIf7GmNwYnspB8UCpB","Eden Portal","Eden Portal","Otik",2022-06-08,366500,30,spotify:user:,2022-09-09T08:08:38Z,"experimental techno",0.579,0.949,6,-8.129,0,0.0678,0.000404,0.83,0.341,0.111,156.012,4
0OfvPrxmGF63QBUjnXyzU3,"6EbSbVKlRuKxfIfr8H7mCo","zero hour contract","emo_ecstasy_everything","ELLES",2020-10-23,252000,26,spotify:user:,2022-09-09T08:08:38Z,"",0.472,0.516,0,-19.699,1,0.164,0.365,0.891,0.0738,0.129,153.231,5
0CFeLYd2oDWNFONwZSo65G,"2i9OpWjVeuDPilnZ0mgM1L","Why She Is Hiding in the Other Man's Eyes","Why She Is Hiding in the Other Man's Eyes","||||||||||||||||||||",2021-06-04,304390,39,spotify:user:,2022-09-09T08:08:38Z,"",0.682,0.266,11,-20.196,0,0.0342,0.873,0.876,0.109,0.212,81.993,4
3Lav7gnHSClGbsgQGeUzH7,"7CFh7h9Vtvvw0qWCU8d8LH","Bosco Lisergico","Gianpace","Gianpace",2021-07-02,293097,33,spotify:user:,2022-09-09T08:08:38Z,"",0.33,0.389,1,-12.606,0,0.0309,0.949,0.909,0.148,0.413,89.991,4
4xsuHsl6KbNrkFnCvNY3JG,"2orXY2oMFNUtiNrNMDyreV","Echo Boomed","Zoom","upsammy",2020-06-08,196547,27,spotify:user:,2022-09-09T08:08:38Z,"bleep techno,experimental house",0.726,0.579,0,-8.258,1,0.0419,0.118,0.0000428,0.0942,0.726,149.885,4
1upAhgDBWCV0AvUxgAU6SR,"3Hrqjumb6WHg2aAUHJHLND","ACE OF CUPS","RENEGADES OF LIGHT","LSDREAM",2019-04-12,179349,40,spotify:user:,2022-09-09T08:08:38Z,"edm,electro house,electronic trap",0.389,0.408,6,-12.158,1,0.0538,0.826,0.0986,0.383,0.0399,74.183,4
6HKNkPGEwfu0TF3RouyN9W,"2GvwZbDjH1DbQpodGKENDw","The Best Is Yet To Come","Eating Darkness","Roman Flügel",2021-05-07,265399,21,spotify:user:,2022-09-09T08:08:38Z,"float house,frankfurt electronic,melodic techno,microhouse,minimal techno,tech house",0.66,0.427,1,-11.426,1,0.0352,0.0339,0.842,0.0807,0.0796,100.003,4
