Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6ol4ZSifr7r3Lb2a9L5ZAB,"6sFIWsNpZYqfjUpaCgueju","Call Me Maybe","Call Me Maybe","Carly Rae Jepsen",2012-01-01,193466,49,spotify:user:erinmoore1232,2014-04-25T18:13:21Z,"canadian pop,dance pop,electropop,pop,post-teen pop,uk pop",0.783,0.584,7,-6.572,1,0.0409,0.0109,0.00000291,0.108,0.632,120.031,4
4yOn1TEcfsKHUJCL2h1r8I,"0TnOYISbd1XYRBk9myaseg,1l7ZsJRRS8wlW3WfJfPfNS","Feel This Moment (feat. Christina Aguilera)","Global Warming","핏불,Christina Aguilera",2012-11-16,229506,52,spotify:user:erinmoore1232,2014-04-25T18:13:28Z,"dance pop,miami hip hop,pop,pop rap,post-teen pop",0.668,0.758,7,-3.589,1,0.158,0.0338,0,0.204,0.531,135.958,4
294vBlXfZYspeI29SXZaON,"1vCWHaC5f2uS3yhpwWbIA6","Wake Me Up","Wake Me Up","Avicii",2013-08-06,249693,16,spotify:user:erinmoore1232,2014-04-25T18:13:34Z,"dance pop,edm,pop,pop dance,pop rap",0.512,0.803,2,-5.135,1,0.0531,0.00362,0.000583,0.116,0.591,124.162,4
6vkBqOgDHCkb0PV2FaH4PU,"4m4SfDVbF5wxrwEjDKgi4k","Want U Back","Want U Back","Cher Lloyd",2012-09-05,213013,13,spotify:user:erinmoore1232,2014-04-25T18:13:40Z,"dance pop,electropop,pop,post-teen pop,talent show,uk pop",0.699,0.844,9,-2.45,1,0.0521,0.0303,0,0.543,0.638,98.003,4
5TayOsH85LIq21la1XGt1W,"1yxSLGMDHlW21z4YXirZDS","Just Can’t Get Enough","Just Can't Get Enough (International Version)","Black Eyed Peas",2011-01-01,220240,0,spotify:user:erinmoore1232,2014-04-25T18:14:33Z,"dance pop,pop,pop rap",0.485,0.641,0,-8.728,0,0.3,0.19,0,0.214,0.251,94.015,4
3sP3c86WFjOzHHnbhhZcLA,"6S2OmqARrzebs0tKUEyXyp","Give Your Heart a Break","Unbroken","Demi Lovato",2011-01-01,205346,71,spotify:user:erinmoore1232,2014-04-25T18:14:58Z,"dance pop,pop,post-teen pop,uk pop",0.651,0.695,6,-3.218,1,0.0487,0.23,0,0.144,0.569,123.008,4
4lLtanYk6tkMvooU0tWzG8,"0du5cEVh5yTK9QJze8zA0C","Grenade","Doo-Wops & Hooligans","Bruno Mars",2010-10-05,222091,78,spotify:user:erinmoore1232,2014-04-25T18:15:26Z,"dance pop,pop",0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,4
3XSczvk4MRteOw4Yx3lqMU,"6jJ0s89eD6GaHleKKya26X","Roar","Roar","Katy Perry",2013-08-12,222666,0,spotify:user:erinmoore1232,2014-04-25T18:15:44Z,"dance pop,pop",0.667,0.791,7,-4.329,0,0.0319,0.00778,0.0000119,0.415,0.421,89.956,4
3AszgPDZd9q0DpDFt4HFBy,"1G9G7WwrXka3Z1r7aIDjI7","Hey Ya!","The Way You Move / Hey Ya!","Outkast",2003,239240,61,spotify:user:erinmoore1232,2014-04-25T18:19:02Z,"atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop",0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.963,79.504,4
6Uy6K3KdmUdAfelUp0SeXn,"2Sqr0DXoaYABbjBo9HaMkM","Brave","The Blessed Unrest","Sara Bareilles",2013-07-16,220573,69,spotify:user:erinmoore1232,2014-04-25T18:19:13Z,"acoustic pop,hollywood,lilith,neo mellow,pop,pop rock",0.551,0.836,10,-3.838,0,0.0524,0.00502,0.000021,0.0425,0.758,185.063,4
3GCL1PydwsLodcpv0Ll1ch,"06HL4z0CvFAxyc27GXpf02","You Belong With Me","Fearless","Taylor Swift",2008-11-11,231133,70,spotify:user:erinmoore1232,2014-04-25T18:24:05Z,"pop",0.687,0.783,6,-4.44,1,0.0386,0.162,0.0000135,0.114,0.443,129.964,4
4FLRw7sFTaKX66TKAHDstv,"6jJ0s89eD6GaHleKKya26X","Firework","Teenage Dream: The Complete Confection","Katy Perry",2012-01-01,227880,33,spotify:user:erinmoore1232,2014-04-25T18:17:29Z,"dance pop,pop",0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124.072,4
24lMtPOCzP5g4hrg3NklLa,"0du5cEVh5yTK9QJze8zA0C","Just The Way You Are","Just The Way You Are","Bruno Mars",2010-07-20,220733,0,spotify:user:erinmoore1232,2014-04-25T18:24:52Z,"dance pop,pop",0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,4
5b88tNINg4Q4nrRbrCXUmg,"2RdwBSPQiwcmiDo9kixcl8","Happy - From Despicable Me 2","G I R L","Pharrell Williams",2014-03-03,232720,1,spotify:user:erinmoore1232,2014-04-25T18:25:48Z,"hip hop,pop rap",0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,4
3G6hD9B2ZHOsgf4WfNu7X1,"163tK9Wjr9P9DmM0AVK7lm","Team","Pure Heroine","Lorde",2013-09-27,193058,76,spotify:user:erinmoore1232,2014-04-25T21:26:52Z,"art pop,metropopolis,nz pop,pop,yakut pop",0.69,0.578,6,-7.436,1,0.0929,0.167,0,0.305,0.416,99.961,4
0fuP0ykgrDSxk5odNU7Gy2,"06HL4z0CvFAxyc27GXpf02","22","22","Taylor Swift",2012-01-01,231866,0,spotify:user:erinmoore1232,2014-04-25T21:28:00Z,"pop",0.662,0.74,7,-6.558,1,0.0382,0.00248,0.000986,0.0625,0.649,104.007,4
3cKM7UXBZmgjEgEBTkaIlU,"4AK6F7OLvEQ5QYCBNiQWHq","Strong","Midnight Memories (Deluxe)","One Direction",2013-11-25,184373,74,spotify:user:erinmoore1232,2014-05-02T17:02:07Z,"boy band,pop,post-teen pop,talent show",0.741,0.663,0,-7.308,1,0.0434,0.0608,0,0.0931,0.338,115.013,4
2i0AUcEnsDm3dsqLrFWUCq,"6jTnHxhb6cDCaCu4rdvsQ0","Tonight Tonight","Whatever","Hot Chelle Rae",2011-11-25,200466,71,spotify:user:erinmoore1232,2014-05-02T17:04:16Z,"dance pop,dance rock,pop,pop rock,post-teen pop",0.686,0.783,4,-4.977,1,0.119,0.0764,0,0.163,0.814,99.978,4
0V1bCU82tmXL8Z11JoRvyg,"1uNFoZAHBGtllmzznpCI3s","Boyfriend","Boyfriend","Justin Bieber",2012-03-23,172306,0,spotify:user:erinmoore1232,2014-05-02T17:04:36Z,"canadian pop,pop",0.719,0.553,10,-6.043,0,0.0694,0.0386,0.00387,0.135,0.316,96.974,4
