Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2GiJYvgVaD2HtM8GqD9EgQ,"1KP6TWI40m7p3QBTU6u2xo","Electric Love","Dopamine","BØRNS",2015-10-16,218106,80,spotify:user:candyqueen704,2020-01-07T15:38:28Z,"modern rock,pop",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
5hVghJ4KaYES3BFUATCYn0,"4V8LLVI7PbaPR0K2TGSxFF","EARFQUAKE","IGOR","Tyler, The Creator",2019-05-17,190066,80,spotify:user:candyqueen704,2020-01-07T15:38:50Z,"hip hop,rap",0.554,0.498,9,-8.866,1,0.0685,0.23,0.00000598,0.795,0.413,79.635,4
1xfFPJdRjgDAaMcDgbXwyh,"1Bl6wpkWCQ4KVgnASpvzzA","STAR","SATURATION","BROCKHAMPTON",2017-06-09,161000,53,spotify:user:candyqueen704,2020-01-07T15:39:15Z,"boy band,hip hop,pop,rap",0.776,0.388,0,-9.143,1,0.282,0.147,0,0.394,0.294,75.01,4
7ujucw8kFBPIy9mz7DlmAq,"1Bl6wpkWCQ4KVgnASpvzzA","JUNKY","SATURATION II","BROCKHAMPTON",2017-08-25,248780,50,spotify:user:candyqueen704,2020-01-07T15:39:20Z,"boy band,hip hop,pop,rap",0.638,0.662,1,-5.497,1,0.404,0.316,0,0.258,0.675,82.327,4
5qHirGR7M9tdm6C17DlzSY,"3Gm5F95VdRxW3mqCn8RPBJ","REEL IT IN","ONEPOINTFIVE","Aminé",2018-08-15,121346,75,spotify:user:candyqueen704,2020-01-07T15:39:29Z,"hip hop,pop,portland hip hop,rap",0.754,0.342,10,-8.677,0,0.0991,0.073,0,0.193,0.423,128.981,4
2zOWuWdyuMqOoboNRKlJO0,"6GMYJwaziB4ekv1Y6wCDWS","Pretty Boy Swag","The DeAndre Way","Soulja Boy",2010-01-01,236093,47,spotify:user:candyqueen704,2020-01-07T15:39:31Z,"atl hip hop,chicago bop,dance pop,dirty south rap,pop rap,rap,southern hip hop,trap,viral rap",0.837,0.42,8,-5.158,1,0.0629,0.177,0,0.356,0.143,123.157,4
0tCJ4iU48j9B6xMjXx35Ht,"5ictveRyhWRs8Gt8Dvt1hS","Twin Size Mattress","Talon Of The Hawk","The Front Bottoms",2013-05-21,264676,0,spotify:user:candyqueen704,2020-01-07T15:39:36Z,"asbury park indie,emo,new jersey indie",0.328,0.867,4,-5.53,1,0.0812,0.00548,0.00000433,0.103,0.336,145.25,4
1F5A4LpF8ylUVtPoMAvNvn,"3kVUvbeRdcrqQ3oHk5hPdx","Raspberry","Spreading Rumours","Grouplove",2013-09-17,196026,64,spotify:user:candyqueen704,2020-01-07T15:39:40Z,"indie poptimism,indie rock,indietronica,la indie,modern alternative rock,modern rock,rock",0.492,0.779,3,-5.022,1,0.0498,0.0292,0,0.129,0.445,104.966,4
0Pu71wxadDlB8fJXfjIjeJ,"7wqtxqI3eo7Gn1P7SpP6cQ","Shoop","Very Necessary","Salt-N-Pepa",1993-10-12,248573,68,spotify:user:candyqueen704,2020-01-07T15:40:02Z,"dance pop,girl group,golden age hip hop,hip hop,hip pop,old school hip hop,pop rap,queens hip hop",0.939,0.675,0,-7.232,1,0.211,0.0915,0,0.0565,0.795,96.918,4
3uYDO9dPLTVrgfwg7EYXSf,"5K4W6rqBFWDnAN6FQUkS6x","Lift Yourself","Lift Yourself","Kanye West",2018-04-29,147904,59,spotify:user:candyqueen704,2020-01-07T15:40:08Z,"chicago rap,rap",0.877,0.435,0,-8.131,1,0.136,0.0108,0.00000188,0.115,0.589,98.008,4
5LuYzNT80u6BrRFtwEPet7,"7jXQfCP0xRnnind08ie0zT","Blonde Hair, Black Lungs","Forgettable","Sorority Noise",2014-05-13,176975,0,spotify:user:candyqueen704,2020-01-07T15:40:12Z,"alternative emo,emo,new england emo",0.313,0.605,5,-6.261,1,0.0447,0.000448,0,0.136,0.379,114.182,3
6cJqlSO19vsfCsH1FeFI35,"0EdvGhlC1FkGItLOWQzG4J","Santeria","Sublime (Explicit Version)","Sublime",1996-07-30,183200,0,spotify:user:candyqueen704,2020-01-07T15:40:18Z,"reggae fusion,ska mexicano,ska punk",0.673,0.772,1,-5.246,0,0.0427,0.0223,0.00000123,0.141,0.585,90.356,4
1gGhqfs2pDTOI30AEXMXrn,"6TLwD7HPWuiOzvXEa3oCNe","Alien Boy","Alien Boy EP","Oliver Tree",2018-02-16,163524,0,spotify:user:candyqueen704,2020-01-07T15:40:41Z,"alternative hip hop",0.802,0.599,1,-5.169,1,0.0997,0.112,0,0.236,0.484,130.108,4
1yjY7rpaAQvKwpdUliHx0d,"74XFHRwlV6OrjEM0A2NCMF","Still into You","Paramore","Paramore",2013-04-05,216013,78,spotify:user:candyqueen704,2020-01-07T15:40:48Z,"candy pop,pixie,pop emo,pop punk",0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,4
7yMiX7n9SBvadzox8T5jzT,"3AA28KZvwAUcZuOKwyblJQ","Clint Eastwood","Gorillaz","Gorillaz",2001,340920,70,spotify:user:candyqueen704,2020-01-07T15:40:55Z,"alternative hip hop",0.663,0.694,10,-8.627,0,0.171,0.0253,0,0.0698,0.525,167.953,4
0lnIJmgcUpEpe4AZACjayW,"6vWDO969PvNqNYHIOW5v0m","Sorry","Lemonade","Beyoncé",2016-04-23,232560,66,spotify:user:candyqueen704,2020-01-07T15:40:59Z,"dance pop,pop,r&b",0.775,0.598,2,-7.274,1,0.0535,0.00175,0.00000444,0.253,0.356,129.988,4
799f6Ih1Pu4AUApMyXhxUc,"73sIBHcqh3Z3NyqHKZ7FOL","Bonfire","Camp","Childish Gambino",2011-11-15,192946,55,spotify:user:candyqueen704,2020-01-07T15:41:07Z,"atl hip hop,hip hop,pop,rap",0.506,0.745,8,-6.044,1,0.331,0.0594,0,0.341,0.311,161.808,4
21yRtB6B8EMounImAfHRCP,"4V8LLVI7PbaPR0K2TGSxFF,13ubrt8QOOCPljQ2FL1Kca","Who Dat Boy (feat. A$AP Rocky)","Flower Boy","Tyler, The Creator,A$AP Rocky",2017-07-21,205093,67,spotify:user:candyqueen704,2020-01-07T15:41:23Z,"hip hop,rap,east coast hip hop",0.706,0.485,8,-9.671,1,0.331,0.337,0,0.122,0.144,115.414,4
