Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
11bD1JtSjlIgKgZG2134DZ,"3rIZMv9rysU7JkLzEaC5Jp","Chasing Cars","Eyes Open","Snow Patrol",2006-01-01,267933,48,spotify:user:9p7x77yn04qi4ovwwd54z9z2z,2019-02-23T16:26:31Z,"irish rock,neo mellow,permanent wave,pop rock,rock",0.563,0.592,9,-4.571,1,0.0276,0.209,0.0000508,0.132,0.136,104.016,4
3AJwUDP919kvQ9QcozQPxg,"4gzpq5DPGxSnKTe4SA8HAU","Yellow","Parachutes","Coldplay",2000-07-10,266773,89,spotify:user:9p7x77yn04qi4ovwwd54z9z2z,2019-02-23T16:26:34Z,"permanent wave,pop",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
7vFv0yFGMJW3qVXbAd9BK9,"0hEurMDQu99nJRq8pTxO14","Your Body Is a Wonderland","Room For Squares","John Mayer",2001-08-16,249626,73,spotify:user:9p7x77yn04qi4ovwwd54z9z2z,2019-02-23T16:26:54Z,"neo mellow,singer-songwriter",0.647,0.729,5,-6.251,1,0.0236,0.0206,0.0489,0.134,0.687,94.01,4
1k1Bqnv2R0uJXQN4u6LKYt,"1ThoqLcyIYvZn7iWbj8fsj","Ain't No Sunshine","Just As I Am","Bill Withers",1971-05-01,125093,78,spotify:user:9p7x77yn04qi4ovwwd54z9z2z,2019-02-23T16:27:05Z,"funk,quiet storm,soul",0.527,0.415,4,-11.451,0,0.122,0.457,0.0000172,0.117,0.515,78.169,4
2hKdd3qO7cWr2Jo0Bcs0MA,"3FUY2gzHeIiaesXtOAdB7A","Drops of Jupiter (Tell Me)","Drops Of Jupiter","Train",2001-03-27,259933,77,spotify:user:9p7x77yn04qi4ovwwd54z9z2z,2019-02-23T16:27:09Z,"dance pop,neo mellow,pop,pop rock",0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,4
4llK75pXNWZz6KAho2Gp16,"04gDigrS5kc9YWfZHwBETP","She Will Be Loved - Radio Mix","Songs About Jane: 10th Anniversary Edition","Maroon 5",2002,259453,78,spotify:user:9p7x77yn04qi4ovwwd54z9z2z,2019-02-23T16:27:16Z,"pop",0.651,0.663,0,-5.569,0,0.0281,0.228,0,0.0994,0.465,102,4
3U4isOIWM3VvDubwSI3y7a,"5y2Xq6xcjJb2jVM54GHK3t","All of Me","Love In The Future (Expanded Edition)","John Legend",2013-08-30,269560,84,spotify:user:9p7x77yn04qi4ovwwd54z9z2z,2019-02-23T16:27:29Z,"neo soul,pop,pop soul,r&b,urban contemporary",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4
6Qyc6fS4DsZjB2mRW9DsQs,"2sil8z5kiy4r76CRTXxBCA","Iris","Dizzy up the Girl","The Goo Goo Dolls",1998-09-11,289533,82,spotify:user:9p7x77yn04qi4ovwwd54z9z2z,2019-02-23T16:27:31Z,"neo mellow,permanent wave,pop rock",0.315,0.715,11,-8.072,0,0.0362,0.00125,0.00000797,0.0942,0.497,155.925,3
2KVwlelhxKUy8LVV6JypH3,"3Ngh2zDBRPEriyxQDAMKd1","Push","Yourself or Someone Like You","Matchbox Twenty",1996-10-01,238666,70,spotify:user:9p7x77yn04qi4ovwwd54z9z2z,2019-02-23T16:27:34Z,"neo mellow,pop rock,post-grunge",0.42,0.672,6,-7.902,1,0.027,0.0067,0,0.108,0.476,168.019,4
1A5V1sxyCLpKJezp75tUXn,"1TqQi97nqeiuOJrIFv5Sw0","Closing Time","20th Century Masters: The Millennium Collection: Best Of Semisonic","Semisonic",2003-01-01,274160,72,spotify:user:9p7x77yn04qi4ovwwd54z9z2z,2019-02-23T16:27:37Z,"alternative rock,neo mellow,pop rock",0.478,0.854,7,-5.454,1,0.0289,0.0204,0.00000121,0.115,0.274,91.854,4
