Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4BTPwdNcGQK2GQxwvKkiZI,"2uFUBdaVGtyMqckSeCl0Qj,59r5UU2HOytn9V5uMZ5Vur,1k1AM2ESRQseVAj6rvBdtx","Experience","In A Time Lapse (Deluxe Edition)","Ludovico Einaudi,Daniel Hope,I Virtuosi Italiani",2013-01-01,315426,48,spotify:user:,2022-10-07T04:00:00Z,"bow pop,compositional ambient,neo-classical,classical performance,violin,chamber orchestra,string orchestra",0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,4
2fuiA0FQANMrcr2jXMc0nP,"5dhbc8LcvYmiI2CQhByaBR","Wildest Dreams","Bridgerton (Covers from the Netflix Original Series)","Duomo",2020-12-25,203293,62,spotify:user:,2022-10-07T04:00:00Z,"",0.45,0.275,8,-11.48,1,0.0374,0.51,0.0711,0.0847,0.311,140.094,4
20nMssNxX89e7YMoT0gpFQ,"6MERXsiRbur2oJZFgYRDKz","Howl's Moving Castle - Merry-Go-Round of Life","Geek Wedding, Vol. 2: The Sequel","Vitamin String Quartet",2016-02-19,184875,57,spotify:user:,2022-10-07T04:00:00Z,"bow pop",0.258,0.179,2,-13.822,0,0.0454,0.876,0.0000449,0.0709,0.446,72.795,3
4gmhjAsvL6c7se2PBh7dHw,"2VZNmg4vCnew4Pavo8zDdW,59r5UU2HOytn9V5uMZ5Vur,19z3Is8jPDFmLphrQ2w2Du,1pNP4idjNnhPXDLi0Jz12R","Spring 1 - 2012","Recomposed By Max Richter: Vivaldi, The Four Seasons","Max Richter,Daniel Hope,Konzerthaus Kammerorchester Berlin,Andre de Ridder",2014-01-01,151506,58,spotify:user:,2022-10-07T04:00:00Z,"compositional ambient,post-minimalism,classical performance,violin,chamber orchestra",0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,3
6VhExWbPovba3QfMY1sw7U,"2M4eNCvV3CJUswavkhAQg2","A Hidden Life","A Hidden Life (Original Motion Picture Soundtrack)","James Newton Howard",2019-12-06,170653,46,spotify:user:,2022-10-07T04:00:00Z,"orchestral soundtrack,soundtrack",0.0975,0.0483,5,-27.155,0,0.0473,0.621,0.305,0.0928,0.0601,81.53,4
7EmiVtjY6KsnDgroaePON5,"2wOqMjp9TyABvtHdOSOTUS,21NJ5Fe4kSV3uACHwyN271","Piano Sonata in C Major, WoO 51: II. Adagio","Beethoven Trilogy 2: Childhood","Ludwig van Beethoven,See Siang Wong",2021-09-24,150906,39,spotify:user:,2022-10-07T04:00:00Z,"classical,classical era,early romantic era,german romanticism,chinese classical piano,classical piano,dutch classical piano",0.194,0.0269,5,-34.472,1,0.0413,0.993,0.963,0.0626,0.137,171.966,4
6z720DAWxYJL5SacdZLlEN,"14UXdoHp8xbGJLLYDp9HqF","Für Elise - Reimagined","Für Elise - Reimagined","Alexander Joseph",2021-02-07,360195,55,spotify:user:,2022-10-07T04:00:00Z,"",0.202,0.161,10,-22.956,0,0.0484,0.989,0.891,0.134,0.187,166.287,4
3IbO32QxBvn6bgyzjmqsJy,"1a0fCaPSHXJleGCRaTNi3N","À Bout de Souffle","À Bout de Souffle","Tristan Seewer",2022-10-01,144603,34,spotify:user:,2022-10-07T04:00:00Z,"",0.14,0.166,10,-18,0,0.0401,0.82,0.817,0.392,0.0369,74.41,4
2k2MprlqkmDMKKOOWGREzW,"0s1ec6aPpRZ4DCj15w1EFg,1Dot4uMsJMx8n1Xi7gAdV6","Dawn - From Pride & Prejudice Soundtrack","Pride and Prejudice - OST","Dario Marianelli,Jean-Yves Thibaudet",2005-09-19,158600,60,spotify:user:,2022-10-07T04:00:00Z,"compositional ambient,orchestral soundtrack,soundtrack,classical piano,french classical piano",0.332,0.0525,0,-24.1,1,0.0388,0.991,0.891,0.0683,0.097,78.853,3
0dn7lN2ky5BnUJNoELXh3i,"0TORlmlTHaneG9k4nWPn0V","Cornfield Chase - Piano-Cello Version","Piano Chill","Michael Forster",2018-02-23,124453,56,spotify:user:,2022-10-07T04:00:00Z,"christmas instrumental,neo-classical",0.325,0.216,9,-17.214,0,0.0352,0.977,0.861,0.128,0.109,99.635,3
09I7DjJtkvTPORULHE7yCY,"3huVQoEWdqUTvlYpFVUHcF","First Impressions","Becoming Jane","Original Soundtrack",2007-03-02,145173,40,spotify:user:,2022-10-07T04:00:00Z,"",0.163,0.021,5,-26.363,1,0.0478,0.955,0.884,0.0868,0.0367,129.627,4
6yPUtBVbbSpp7khUpcmcDu,"71tFaKKy6x1inyCFHjpzUE,6qc7jg6OMExVkMu2Uzril9,5fVIkYGFnKyKO5CTphBoKO,4c6Gwxq0m60hm6dx4dnAqB,5Bcr5JYvl4wiO9jvoDvH8F,3GD1m7RLwgmITy17vj8Ht6","6.6 Gigue","Bach: The Cello Suites - Recomposed by Peter Gregson","Peter Gregson,Richard Harwood,Reinoud Ford,Tim Lowe,Ben Chappell,Katherine Jenkinson",2018-10-19,168676,51,spotify:user:,2022-10-07T04:00:00Z,"compositional ambient,modern cello,neo-classical,classical cello",0.374,0.351,2,-10.522,1,0.044,0.832,0.71,0.103,0.0852,82.56,4
5FOHBhUtWl2x5Z6qflA8nd,"526q7RxT5KA1VGeQ5GMSHO,5V7l2e1oLF7oSzpvdaDenk,0MvSBMGRQJY3mRwIbJsqF1","Romeo + Juliet (arr. P. Bateman): Romeo and Juliet: The Balcony Scene (arr. P. Bateman for piano and orchestra)","Film Music - Williams, J. / Barry, J. / Bacharach, B. / Nyman, M. / Lloyd Webber, A. / Armstrong, C. (Film Harmonic) (Royal Philharmonic)","Craig Armstrong,Paul Bateman,Royal Philharmonic Orchestra",2013-07-02,349920,47,spotify:user:,2022-10-07T04:00:00Z,"british soundtrack,orchestral soundtrack,scorecore,soundtrack,british orchestra,orchestra",0.147,0.0457,0,-19.188,1,0.042,0.96,0.927,0.106,0.0364,138.942,1
06mi7oiYv5pftvpFU784jc,"1joFZGTRER78nUsWtgHCHR","Theme - From Emma","Hollywood '96 (Themes From The Year's Biggest Films)","Rachel Portman",1996-01-01,179492,45,spotify:user:,2022-10-07T04:00:00Z,"british soundtrack,classic soundtrack,orchestral soundtrack,scorecore,soundtrack",0.155,0.0612,7,-21.803,1,0.0439,0.941,0.868,0.0978,0.0361,91.989,3
3NbAsIxDL0fVgNuCLD152P,"2gClsBep1tt1rv1CN210SO,5Pj7u76MK9VDyzDiAyYPSL,4Xo09YXm0lIRA80IVUTe09","Dolly, Op. 56: 1. Berceuse","Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus","Gabriel Fauré,Katia Labèque,Marielle Labèque",2015-01-01,176518,64,spotify:user:,2022-10-07T04:00:00Z,"classical,post-romantic era,classical piano,french classical piano",0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,4
20BUmbjIRXr7MnGjNaC2R2,"0OnynZ2smlYDjDmdRQVkmk,3NkjYttHnIbRubcPdtyvSL","Roses in a Box","Sixteen Contemporary Love Songs for Piano","Elena Kats-Chernin,William Howard",2018-06-01,221400,44,spotify:user:,2022-10-07T04:00:00Z,"australian classical,australian classical piano,british classical piano",0.19,0.02,11,-33.983,0,0.0489,0.994,0.897,0.118,0.114,214.261,4
4Q0VPrw0jgRB7onKAtRnFG,"1Qu6r22G2M8Xqz0GawYv8P","David's Writings","The Personal History of David Copperfield (Original Motion Picture Soundtrack)","Christopher Willis",2020-01-17,177773,40,spotify:user:,2022-10-07T04:00:00Z,"british soundtrack",0.299,0.357,1,-13.535,0,0.0325,0.774,0.91,0.143,0.0391,92.314,4
0yIM3MDx8UTwueyoZJobsb,"3PhL2Vdao2v8SS8AptuhAr","The Portrait","Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition","James Horner",1997,283226,49,spotify:user:,2022-10-07T04:00:00Z,"orchestral soundtrack,soundtrack",0.297,0.0214,5,-32.398,1,0.0658,0.995,0.934,0.0652,0.132,212.349,4
60vDJQPOMYUkL388zPpuNT,"7mCsyzq823cXJ5puxUN3aJ","The Princess Diaries Waltz - Score","The Princess Diaries","John Debney",2001-01-01,129000,50,spotify:user:,2022-10-07T04:00:00Z,"classic soundtrack,orchestral soundtrack,scorecore,soundtrack",0.253,0.151,9,-18.081,1,0.0345,0.848,0.909,0.121,0.151,136.754,5
0ovIP1mWermyLY91w6SMnh,"1ylcY77FWeSVQKh5et1VGp","Adore You (arr. string quartet) - Inspired by ‘Bridgerton’","Adore You (arr. string quartet) [Inspired by ‘Bridgerton’]","Music Lab Collective",2021-07-16,198410,41,spotify:user:,2022-10-07T04:00:00Z,"classify",0.416,0.197,0,-10.952,0,0.0314,0.962,0.678,0.0892,0.479,99.929,4
