Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3DmW6y7wTEYHJZlLo1r6XJ,"4obzFoKoKRHIphyHzJ35G3","Shower","Shower","Becky G",2014-04-23,206166,76,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-27T22:59:14Z,"dance pop,latin pop,latin viral pop,pop,rap latina,reggaeton",0.699,0.529,2,-7.548,1,0.0487,0.0317,0.0000359,0.285,0.121,119.987,4
4a3D8glGZxhlJfOs1Czc3c,"56oDRnqbIiwx4mymNEv7dS","About Damn Time","Special","Lizzo",2022-07-14,191937,60,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-27T22:59:16Z,"escape room,minnesota hip hop,pop,trap queen",0.835,0.747,10,-6.328,0,0.0622,0.101,0,0.355,0.713,108.974,4
7z04NIE3gIdxdnRQHJkuxw,"7fEXIS5LgSLbCdzTePqe0V","Made Up Story","Made Up Story","Andi",2022-03-04,188017,56,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-27T22:59:17Z,"alt z,social media pop",0.773,0.49,8,-7.291,1,0.0435,0.6,0,0.123,0.531,107.878,4
6iJDhOaOzDYDyGhrI7S5qV,"164Uj4eKjl6zTBKfJLFKKK","this is what sadness feels like","this is what sadness feels like (214Hz)","JVKE",2022-10-05,191830,61,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-27T22:59:23Z,"modern indie pop,pop",0.483,0.321,10,-10.401,0,0.0719,0.82,0.000107,0.128,0.148,141.28,3
4TgyIbBZCW0UIwS8eua06z,"5ZTJEC2UH1RXQT9K1mDCJ3","Hate You","Hate You","Jordi",2022-11-18,176540,60,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-27T22:59:24Z,"",0.636,0.473,0,-8.311,1,0.0389,0.762,0.00000382,0.152,0.399,87.034,4
2KCvVtHmP00rHHS1Piuqop,"164Uj4eKjl6zTBKfJLFKKK","moon and back","this is what ____ feels like (Vol. 1-4)","JVKE",2022-09-23,148298,48,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-27T22:59:27Z,"modern indie pop,pop",0.596,0.493,2,-4.263,1,0.0722,0.569,0.0000302,0.208,0.492,180.132,4
1HkRnB3c6aVMJxAryrsMsc,"164Uj4eKjl6zTBKfJLFKKK","i can't help it","i can't help it","JVKE",2022-08-26,177886,50,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-27T22:59:28Z,"modern indie pop,pop",0.458,0.638,1,-4.151,1,0.0638,0.232,0.01,0.248,0.343,155.935,4
7wfxf9QXBIWgBx1aG5QWhR,"22wbnEMDvgVIAGdFeek6ET","ROOM FOR 2","ROOM FOR 2","Benson Boone",2022-02-18,151500,64,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-27T22:59:30Z,"pop",0.593,0.503,2,-5.635,1,0.0652,0.112,0,0.331,0.278,159.971,4
3ZBeHiRJUj1vdiU8zzGPgb,"0sMAHzxguan2KpnKFZPW2d","WYD Now?","WYD Now?","Sadie Jean",2021-12-10,144666,73,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-27T22:59:35Z,"",0.378,0.334,1,-10.993,1,0.304,0.776,0,0.115,0.496,181.296,4
1GnJ7E3Avz55JH3CNyAJB1,"2Q6rQJuLJiltIJ0gIiTrd3","Standing in the Back","Standing in the Back","Jordi",2021-03-03,189183,25,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-27T22:59:36Z,"",0.727,0.537,11,-7.25,1,0.0423,0.119,0.0414,0.0687,0.833,126.211,4
