Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3Uo7WG0vmLQ07WB4BDwy7D,"06HL4z0CvFAxyc27GXpf02","willow","evermore","Taylor Swift",2020-12-10,214706,69,spotify:user:3164bclj2ni32jwrja3iqj7tcubi,2022-02-24T16:16:18Z,"pop",0.392,0.579,7,-9.195,1,0.164,0.835,0.00179,0.145,0.549,80.961,4
35mvY5S1H3J2QZyna3TFe0,"66CXWjxzNUsdJxJ2JdwvnR","positions","Positions","Ariana Grande",2020-10-30,172324,83,spotify:user:3164bclj2ni32jwrja3iqj7tcubi,2022-02-24T16:16:40Z,"dance pop,pop",0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,4
6Im9k8u9iIzKMrmV7BWtlF,"66CXWjxzNUsdJxJ2JdwvnR","34+35","Positions","Ariana Grande",2020-10-30,173710,80,spotify:user:3164bclj2ni32jwrja3iqj7tcubi,2022-02-24T16:16:55Z,"dance pop,pop",0.83,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.485,109.978,4
3ko9jEHNt4O5fjKN65ULJp,"66CXWjxzNUsdJxJ2JdwvnR","shut up","Positions","Ariana Grande",2020-10-30,157710,59,spotify:user:3164bclj2ni32jwrja3iqj7tcubi,2022-02-24T16:17:32Z,"dance pop,pop",0.499,0.462,0,-5.308,1,0.0312,0.801,0,0.0946,0.599,127.698,4
1D4PL9B8gOg78jiHg3FvBb,"06HL4z0CvFAxyc27GXpf02","Love Story","Fearless (Big Machine Radio Release Special)","Taylor Swift",2008-11-11,236266,76,spotify:user:3164bclj2ni32jwrja3iqj7tcubi,2022-02-24T16:17:48Z,"pop",0.617,0.741,2,-3.97,1,0.0311,0.131,0,0.0772,0.306,118.984,4
2DpCdPMg1BADE4HDnxt3Rd,"6Dd3NScHWwnW6obMFbl1BH","Sit Still, Look Pretty","Sit Still, Look Pretty","Daya",2017-01-06,202226,62,spotify:user:3164bclj2ni32jwrja3iqj7tcubi,2022-02-24T16:18:26Z,"alt z,dance pop,edm,electropop,pop,pop dance,post-teen pop,tropical house",0.655,0.787,2,-3.031,1,0.264,0.122,0.00000311,0.178,0.554,181.799,4
5mpWGq83n0sIgGRopGk5QZ,"5RR0MLwcjc87wjSw2JYdwx,0fEj1fYIQwWj1bzzAto9rp","Wrap Me In Plastic","Wrap Me In Plastic","모모랜드,CHROMANCE",2021-02-05,192808,63,spotify:user:3164bclj2ni32jwrja3iqj7tcubi,2022-02-24T16:20:22Z,"k-pop,k-pop girl group,modern indie pop",0.821,0.602,5,-2.916,0,0.0907,0.286,0,0.0862,0.776,179.932,4
5HCyWlXZPP0y6Gqq8TgA20,"2tIP7SsRs7vjIcLrU85W8J,1uNFoZAHBGtllmzznpCI3s","STAY (with Justin Bieber)","STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",2021-07-09,141805,87,spotify:user:3164bclj2ni32jwrja3iqj7tcubi,2022-02-24T16:20:33Z,"australian hip hop,pop,canadian pop",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
2ayIgfvWo3SfYP2pVOr4pC,"3eVa5w3URK5duf6eyVDbu9","Gone","R","ROSÉ",2021-03-12,207163,70,spotify:user:3164bclj2ni32jwrja3iqj7tcubi,2022-02-24T16:20:39Z,"k-pop",0.647,0.377,6,-6.003,1,0.0375,0.594,0,0.0768,0.653,79.936,4
1brwdYwjltrJo7WHpIvbYt,"7vk5e3vY1uw9plTHJAMwjN","Faded","Faded","Alan Walker",2015-12-04,212626,1,spotify:user:3164bclj2ni32jwrja3iqj7tcubi,2022-02-24T16:20:48Z,"electro house",0.589,0.651,6,-5.097,1,0.0306,0.0291,0.0000032,0.111,0.166,90.011,4
