Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1meosvrJFk4xXo1HwUIasC,"31doejENzNckcbU7CUrUs0","M to the B","M to the B","Millie B",2020-09-18,137743,58,spotify:user:5oazj97jjpu5u05htdg1zuf9n,2022-03-29T00:33:45Z,"viral rap",0.897,0.513,10,-6.973,0,0.309,0.571,0,0.101,0.692,139.935,4
4vewD7EZL4NELL98l8ys5A,"7Gz6VlTVwlNtBNMYV4OI3w","Master Sword","Willy the Kid","Shotgun Willy",2019-04-06,156845,58,spotify:user:5oazj97jjpu5u05htdg1zuf9n,2022-03-29T00:33:47Z,"meme rap,sad rap,viral rap",0.738,0.74,0,-8.336,1,0.0609,0.355,0.0299,0.0957,0.779,140.004,4
32zff4De11aTFhr6O5Dh8a,"7Gz6VlTVwlNtBNMYV4OI3w,7ulnU80aA4UleNCZ95c4PE","NaNaNa","Viva La Kid","Shotgun Willy,TRAQULA",2021-08-06,178076,37,spotify:user:5oazj97jjpu5u05htdg1zuf9n,2022-03-29T00:33:48Z,"meme rap,sad rap,viral rap",0.787,0.759,6,-10.257,0,0.0735,0.0999,0.0163,0.055,0.942,155.01,4
0uepd4dBVHY5CqoMGk2iXH,"2Vrlq6LmKIUu2kuJp5fMUP","TRENCHBOY","TRENCHBOY","Gutterboysouz",2018-01-03,120092,47,spotify:user:5oazj97jjpu5u05htdg1zuf9n,2022-03-29T00:33:48Z,"",0.901,0.168,10,-14.184,1,0.439,0.181,0,0.343,0.0674,143.984,4
5KNMKrnGKurVFEx9lyA8z7,"7csUGV7nG6ACis1ejDkGIB,1dXyyDButMVteLKOOVqz6Z","Desperado Slowed - Remix","Desperado Slowed (Remix)","RH Music,Eduardo Luzquiños",2021-01-26,216975,0,spotify:user:5oazj97jjpu5u05htdg1zuf9n,2022-03-29T00:33:49Z,"viral rap",0.495,0.399,2,-13.29,0,0.0591,0.397,0,0.11,0.198,162.479,3
4fYVgBTMOShPGBKINMN45w,"7Gz6VlTVwlNtBNMYV4OI3w,5CVsjwjuzUOrlEc2OJbUg4","Mr. Money Bags","Mr. Money Bags","Shotgun Willy,Lucian",2020-07-26,142197,49,spotify:user:5oazj97jjpu5u05htdg1zuf9n,2022-03-29T00:33:50Z,"meme rap,sad rap,viral rap,pop edm,vapor twitch",0.777,0.658,4,-8.351,0,0.209,0.0192,0,0.38,0.459,84.008,4
6hhRhOIkpUIu1CFNNJfsnt,"7Gz6VlTVwlNtBNMYV4OI3w,1V2sJvNlPQYSO4Kf6GC3if","Oreo","Oreo","Shotgun Willy,Yung Craka",2020-08-21,128932,65,spotify:user:5oazj97jjpu5u05htdg1zuf9n,2022-03-29T00:33:53Z,"meme rap,sad rap,viral rap",0.791,0.778,11,-5.557,1,0.0406,0.745,0.00000235,0.303,0.88,136.982,4
308n5lVxtdYiD0TJHH4EXM,"7Gz6VlTVwlNtBNMYV4OI3w,1V2sJvNlPQYSO4Kf6GC3if","Just Got Sued","God's Favorite Rappers","Shotgun Willy,Yung Craka",2020-01-11,170004,40,spotify:user:5oazj97jjpu5u05htdg1zuf9n,2022-03-29T00:33:55Z,"meme rap,sad rap,viral rap",0.614,0.853,2,-5.975,1,0.277,0.0339,0,0.287,0.512,177.937,4
6KMoLX8mNZafSdDusjEA1M,"7Gz6VlTVwlNtBNMYV4OI3w,1V2sJvNlPQYSO4Kf6GC3if","Respected Man","Respected Man","Shotgun Willy,Yung Craka",2021-04-02,151951,55,spotify:user:5oazj97jjpu5u05htdg1zuf9n,2022-03-29T00:33:56Z,"meme rap,sad rap,viral rap",0.914,0.388,8,-11.593,1,0.415,0.0306,0.00000105,0.187,0.441,99.966,4
4TCjSf5wyxMERqfbXsHM5f,"7Gz6VlTVwlNtBNMYV4OI3w,5P46zciG5gm8IALoKTLYGb","Wombo Combo","Wombo Combo","Shotgun Willy,Lil Kapow",2019-07-05,184497,50,spotify:user:5oazj97jjpu5u05htdg1zuf9n,2022-03-29T00:34:00Z,"meme rap,sad rap,viral rap",0.792,0.511,0,-10.29,1,0.141,0.436,0.00000141,0.0942,0.634,120.14,4
