Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4lnnde7PnrXR3pUzQKBe6X,"4xFUf1FHVy696Q1JQZMTRj","Little Toy Guns","Greatest Hits: Decade #1","Carrie Underwood",2014-12-09,210760,49,spotify:user:e020vkree8khod1a7bc82vfq1,2021-10-05T19:04:30Z,"contemporary country,country,country dawn,oklahoma country,pop",0.434,0.868,7,-1.208,1,0.0603,0.00407,0.00000198,0.0919,0.204,161.886,4
63bo7NDoWdMFXufhsYOxwG,"66CXWjxzNUsdJxJ2JdwvnR,2Rf4X6m0oayCJhaJ5K63GQ","Almost Is Never Enough","Yours Truly","Ariana Grande,Nathan Sykes",2013-01-01,327773,54,spotify:user:e020vkree8khod1a7bc82vfq1,2021-10-05T19:05:00Z,"dance pop,pop,post-teen pop,uk pop",0.323,0.327,2,-7.494,1,0.0411,0.824,0,0.101,0.335,81.329,4
4qCySCQyiyLT2mVUOM2zdS,"1McMsnEElThX1knmY4oliG,3xvaSlT4xsyk6lY1ESOspO","The Rose Song","High School Musical: The Musical: The Series (Original Soundtrack/Season 2)","Olivia Rodrigo,Disney",2021-07-30,174380,53,spotify:user:e020vkree8khod1a7bc82vfq1,2021-10-05T19:05:06Z,"pop",0.437,0.374,5,-8.991,1,0.0376,0.786,0,0.107,0.461,141.897,4
1EpKvCBKXiJUtU47LFtZ38,"6jDwZUFYUH1dC4xWzOd8QU","Love Like You","Love Like You","Caleb Hyles",2017-07-15,246455,53,spotify:user:e020vkree8khod1a7bc82vfq1,2021-10-05T19:05:12Z,"otacore",0.543,0.124,3,-15.651,1,0.0506,0.977,0.0000887,0.117,0.137,95.412,3
2BwRvOaG8JdpX3F5LqiLHo,"2NvmDZar6FF2CICK1yBS4I,720fJ5sGqAOhvU2IUypqIr","Ho Hey","The Music Of Nashville Original Soundtrack Volume 2","Nashville Cast,Lennon & Maisy",2013-01-01,126440,42,spotify:user:e020vkree8khod1a7bc82vfq1,2021-10-05T19:05:22Z,"canadian country",0.692,0.434,1,-8.53,1,0.026,0.601,0,0.102,0.455,82.978,4
7n6fQgF1mjITSSpxfjUMVc,"5z2SvHuqebjSy6000AzsJ1","The Wave","Wilderness","Iziah Dawn",2020-11-20,83748,2,spotify:user:e020vkree8khod1a7bc82vfq1,2021-10-05T19:05:33Z,"",0.911,0.65,11,-5.976,0,0.336,0.547,0.000536,0.259,0.804,128.98,4
5gOwwg0Dqz1hFywXia6aom,"6FKeUu8U16w2fzH1vLxPkg","No Humanity","No Humanity","Kyla Imani",2020-06-05,198095,20,spotify:user:e020vkree8khod1a7bc82vfq1,2021-10-05T19:05:54Z,"",0.699,0.248,5,-16.284,0,0.0841,0.672,0,0.08,0.566,125.982,4
7jP7iCJ1cXVXYHWIkYtP6d,"4xFUf1FHVy696Q1JQZMTRj","See You Again","Blown Away","Carrie Underwood",2012-05-01,246453,52,spotify:user:e020vkree8khod1a7bc82vfq1,2021-10-05T19:06:15Z,"contemporary country,country,country dawn,oklahoma country,pop",0.514,0.742,8,-2.525,1,0.0258,0.27,0.0000017,0.085,0.47,101,4
2W9u3whoCkQYOUbmnSrHi1,"3twuAojvYNrlWZpMkxLm3P,3cR4rhS2hBWqI7rJEBacvN,6G3sPhnj4JBCsBVBGvZnkk,3UUJfRbrA2nTbcg4i0MOwu","What'd I Miss","Hamilton (Original Broadway Cast Recording)","Daveed Diggs,Leslie Odom Jr.,Okieriete Onaodowan,Original Broadway Cast of Hamilton",2015-09-25,236701,62,spotify:user:e020vkree8khod1a7bc82vfq1,2021-10-05T19:06:32Z,"alternative hip hop,broadway,hollywood,show tunes,vocal jazz",0.539,0.577,7,-7.763,1,0.386,0.169,0,0.14,0.319,177.787,4
2G9lekfCh83S0lt2yfffBz,"4lSm9vkdpKSs1O8nKflRaB,4aXXDj9aZnlshx7mzj3W1N,3UUJfRbrA2nTbcg4i0MOwu","Farmer Refuted","Hamilton (Original Broadway Cast Recording)","Thayne Jasperson,Lin-Manuel Miranda,Original Broadway Cast of Hamilton",2015-09-25,112742,63,spotify:user:e020vkree8khod1a7bc82vfq1,2021-10-05T19:06:40Z,"show tunes,hollywood,broadway",0.795,0.409,9,-8.334,0,0.372,0.684,0,0.0548,0.577,77.879,3
