Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5xcunlfaZvD9BDQsLONI7A,"3csPCeXsj2wezyvkRFzvmV","Halcyon and On and On","Orbital 2","Orbital",1993-01-01,567106,56,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"big beat,breakbeat,electronica,intelligent dance music,rave",0.577,0.729,11,-14.376,0,0.0319,0.0953,0.928,0.184,0.177,126.988,4
43DnalVz4tL1pR1GWCpfCj,"49gaZqfow2v8EEQmjGyEIw","Delorean Dynamite","It's Album Time","Todd Terje",2014-04-07,405933,33,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"alternative dance,balearic,electronica,filter house,norwegian space disco,nu disco",0.634,0.858,1,-11.661,1,0.0417,0.0125,0.84,0.0984,0.237,123.991,4
1fmoCZ6mtMiqA5GHWPcZz9,"2exkZbmNqMKnT8LRWuxWgy","A New Error","Moderat","Moderat",2009-05-11,367306,61,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"electronica,microhouse,minimal techno",0.717,0.46,11,-11.326,0,0.0372,0.0287,0.785,0.0661,0.0961,110.993,4
3hWu4Z5IkREyWNT4zuuXM5,"4pejUc4iciQfgdX6OKulQn","Auto Pilot","Rated R - Deluxe Edition","Queens of the Stone Age",2010-01-01,240986,43,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"alternative metal,alternative rock,blues rock,modern rock,nu metal,palm desert scene,rock,stoner metal,stoner rock",0.247,0.75,11,-4.624,0,0.041,0.501,0.0389,0.624,0.416,79.603,4
4pJ8psYUOWqkWxYlo22JDL,"284mnx33IWcymQEpMxyfHl,5yxyJsFanEAuwSM5kOuZKc,52sDxFX9DvIxUupTy8f1yx","A Night On The Bare Mountain","Mussorgsky-Stokowski: Pictures At An Exhibition","Modest Mussorgsky,London Symphony Orchestra,Leopold Stokowski",2015-04-20,571080,32,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"late romantic era,russian romanticism,british orchestra,classical performance,orchestra,orchestral performance",0.221,0.423,2,-13.491,1,0.0519,0.884,0.742,0.138,0.0488,96.938,4
7ItpUlCUwTRyiXZ0YclPQ7,"2LMR8u7DOMF0FBseDpTsRa","Dry the Rain","The Three E.P.'s","The Beta Band",1998-09-28,366826,54,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"britpop,chamber psych,indie rock,scottish indie",0.593,0.626,4,-11.287,1,0.0317,0.0931,0.166,0.218,0.753,150.483,4
2iWfZFAF8BCi0CY4NyuP8D,"3vbKDsSS70ZX9D2OcvbZmS","Gamma Ray","Modern Guilt","Beck",2008-07-08,176920,54,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"alternative rock,anti-folk,indie rock,modern rock,permanent wave,rock",0.603,0.909,11,-4.213,0,0.0385,0.109,0.249,0.329,0.7,168.116,4
3B7mbMbbcuKdfWssAcyvG8,"02uYdhMhCgdB49hZlYRm9o","Wannabe in L.A","Heart On","Eagles Of Death Metal",2008-11-10,135853,50,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"alternative rock,blues rock,garage rock,garage rock revival,modern blues rock,modern rock,palm desert scene,rock",0.638,0.945,5,-3.949,0,0.0463,0.259,0.152,0.0931,0.966,158.341,4
5xYC48nOppVemY6U5GRGTb,"1Cs0zKBU1kc0i8ypK3B9ai,0fA0VVWsXO9YnASrzqfmYu","Memories (feat. Kid Cudi)","One More Love","David Guetta,Kid Cudi",2010-11-22,210853,76,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"big room,dance pop,edm,pop,pop dance,hip hop,ohio hip hop,rap",0.546,0.916,8,-3.932,1,0.255,0.00144,0.00000434,0.251,0.375,129.983,4
5yAu4njFSdM47dfsTkQPZ2,"2UZMlIwnkgAEDBsw1Rejkn","Runnin' Down A Dream","The Best Of Everything - The Definitive Career Spanning Hits Collection 1976-2016","Tom Petty",2019-03-01,261813,70,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock",0.471,0.956,9,-6.371,1,0.0403,0.000596,0.62,0.624,0.715,169.798,4
0LuVpXVTaWY9Un2w9GkXjf,"0RkqytrwoGyXGvDiZwT6i2,5oRnbmgqvvq7fVlgk4vcEa","Mad World","Donnie Darko (Original Motion Picture Soundtrack)","Michael Andrews,Gary Jules",2002-04-02,184813,57,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"soundtrack,neo mellow",0.346,0.133,3,-11.954,1,0.0339,0.966,0.0000111,0.109,0.332,174.291,4
1bp2IO61zbQrbWNmKKxg3f,"6QtGlUje9TIkLrgPZrESuk","The Joker","The Joker","Steve Miller Band",1973-01-01,264503,73,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"album rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",0.596,0.448,5,-9.616,1,0.0396,0.365,0.0000053,0.206,0.796,83.293,4
50WFCEWGX0pUEFI9YXeP1x,"18n57lp9vXwU17jg4Vb1sM","Let All The Earth Be As One","Fantastic Sounds","Sam Spence",1976-07-01,227280,15,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"library music,marching band",0.293,0.365,9,-13.518,1,0.0326,0.676,0.00467,0.0991,0.241,139.548,4
4b6WRfxJRY40RBpl3TMQVq,"0cmWgDlu9CwTgxPhf403hb,0g3NiCRhEv7M4SEDMrpItN","Heartbreak","Heartbreak","Bonobo,Totally Enormous Extinct Dinosaurs",2020-09-23,265017,47,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"downtempo,electronica,jazztronica,ninja,nu jazz,trip hop,alternative dance,indietronica,new rave,nu disco,oxford indie",0.636,0.961,6,-5.644,1,0.0491,0.000168,0.9,0.095,0.398,126.997,4
1dHtqgncVJYx6bi3sHTcEL,"5mMkUZv8uUrlH0SHX89BeS","And The Living Is Easy","And The Living Is Easy","배짱이들",2007-10-09,311493,0,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"bboy,electronica,nu jazz",0.872,0.614,5,-7.935,0,0.0422,0.0819,0.246,0.644,0.551,114.992,4
58nUOJJpnhO4xXVaFN1eao,"4eFImh8D3F15dtZk0JQlpT","When the Night Comes","Morning in Japan","Fakear",2013-06-03,237716,41,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"french indie pop,french indietronica,new french touch,tropical house",0.688,0.767,0,-4.457,1,0.0334,0.0129,0.00462,0.322,0.42,105.974,4
56dkUDNWKSBRQXgiQNcgxh,"7abaqPX14i31AxrQ3lFQgv","Rain","Army of Me","Senbeï",2015-02-23,264133,36,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"hip-hop experimental,new french touch",0.702,0.8,4,-5.065,0,0.202,0.208,0.00566,0.477,0.659,92.02,4
1kzl7hqWC0ZJr366DDbmjs,"0Q35wRRhdsU8EbsJ1eouCY","Better Days","Fabric","The Black Seeds",2017-09-08,300093,18,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"kiwi rock,nz reggae,reggae fusion,ska jazz",0.69,0.589,4,-8.97,1,0.0292,0.00871,0.68,0.0356,0.512,94.068,4
4wSmqFg31t6LsQWtzYAJob,"1gR0gsQYfi6joyO1dlp76N","Genesis","Justice","Justice",2007-06-11,234960,58,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"alternative dance,electro house,electronica,filter house,new rave",0.693,0.789,9,-5.13,1,0.384,0.0168,0.366,0.0985,0.283,117.055,4
1RgptEcoSqG30ea7LeE6Iz,"5nPOO9iTcrs9k6yFffPxjH","So Easy","Melody AM","Röyksopp",2001-09-03,249360,42,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"alternative dance,downtempo,electronica,electropop,trip hop",0.716,0.8,10,-10.399,0,0.0518,0.027,0.796,0.437,0.465,104.014,4
76nVSbl4LfZVALNIJ2sm3q,"43mWhBXSflupNLuNjM5vff","Krack","Nite Versions","Soulwax",2005-09-18,326386,41,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"alternative dance,belgian electronic,belgian indie,belgian indie rock,belgian rock,big beat,electro house,electronica,filter house,ghent indie,mashup,new rave",0.58,0.91,10,-5.942,0,0.0316,0.247,0.909,0.0937,0.344,112.816,4
4Y2W4zKa3q72ztbkA0r8Va,"2VAvhf61GgLYmC6C8anyX1","Dayvan Cowboy","The Campfire Headphase","Boards of Canada",2005-10-17,300186,55,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"ambient,electronica,intelligent dance music,scottish electronic,trip hop",0.322,0.615,11,-10.774,1,0.0427,0.507,0.819,0.0677,0.0361,167.95,4
1fARWKNn6zOhHoxDRX2gq8,"49eo9xE4yGzJLWkOndiODs","Bück dich hoch","Befehl von ganz unten","Deichkind",2012-01-01,247586,50,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"german pop,german rock,hamburg hip hop",0.851,0.745,7,-4.495,1,0.177,0.0434,0,0.087,0.693,130.016,4
3gmxpKRiDdCe6ub96LvKx5,"49eo9xE4yGzJLWkOndiODs","Leider geil (Leider geil)","Befehl von ganz unten","Deichkind",2012-01-01,191266,52,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"german pop,german rock,hamburg hip hop",0.958,0.592,9,-7.933,1,0.358,0.182,0,0.167,0.836,120.067,4
4Tzal54wYMmXX0Es1QwAJW,"3oCrmkKTKBi7DUgmtyGkId","Vom selben Stern - Radio Edit","Vom selben Stern","Ich + Ich",2007-06-29,228373,0,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"german pop,german rock",0.688,0.834,1,-6.345,1,0.0343,0.0121,0.000119,0.0882,0.886,140.006,4
1zzxoZVylsna2BQB65Ppcb,"1HwM5zlC5qNWhJtM00yXzG","X Gon' Give It To Ya","The Definition Of X: Pick Of The Litter","DMX",2007-06-12,217586,73,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap",0.761,0.899,10,-3.09,0,0.183,0.0135,0,0.0719,0.673,95.027,4
2ao2s8OOBSEaAVPJS7tNzB,"3Gaqw2nGyE7yM3rcRSzE3U","Sun Flower Sun Kissed","They Know What Ghost Know","Yppah",2009-05-18,231666,10,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"electronica,ninja,nu jazz,trip hop",0.41,0.888,2,-4.869,1,0.0441,0.00000663,0.0208,0.196,0.389,126.055,4
3amRcskC5xqDIz40jXF43a,"1UQ5GQDdYPKgbIEn9sMiSg","Hayling","nu: electronica_","FC Kahuna",2003-04-15,228800,0,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"big beat,electronica",0.544,0.279,5,-12.08,1,0.0326,0.636,0.00134,0.0904,0.0644,139.968,4
5L8ta4ECl5zeA6bGqY7G38,"1pBuKaLHJlIlqYxQQaflve","Sing, Sing, Sing","The Essential Benny Goodman","Benny Goodman",2007-05-22,520293,51,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"adult standards,big band,jazz,jazz clarinet,lounge,stride,swing,vintage jazz,vocal jazz",0.62,0.67,2,-11.575,0,0.0591,0.853,0.896,0.156,0.295,113.492,4
0Fyj9w0HVfjoxm9S8nGClt,"6uothxMWeLWIhsGeF7cyo4","Orinoco Flow","Themes From Calmi Cuori Appassionati","Enya",2001,266960,57,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"celtic,middle earth",0.685,0.46,0,-11.223,1,0.0283,0.797,0.257,0.101,0.566,114.995,4
54CAG8n70kKVbFV6l1zF4G,"1q1wfzh2xtpj27TnIAqIvd,5qwzRqCWqo8sLL9fLAytbD,73GJmUlQIaIhau1wiDsXVB,4FjeS3mNCRfJqN4jRTr4Er,3PfJE6ebCbCHeuqO4BfNeA,2ZYdpQgTZ31R3tjiX25XNT","Adiemus","Adiemus - Songs Of Sanctuary","Karl Jenkins,Mike Ratledge,Adiemus,Jody K. Jenkins,London Philharmonic Orchestra,Mary Carewe",1995,237413,60,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"choral,rock keyboard,new age,british orchestra,orchestra",0.295,0.408,4,-16.632,0,0.0693,0.804,0.148,0.165,0.164,150.454,3
5jZM2ut63rT6MGCW3omsaK,"0epOFNiUfyON9EYx7Tpr6V","Juicebox","First Impressions Of Earth","The Strokes",2005-12-22,194573,0,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.462,0.981,2,-2.371,0,0.127,0.00164,0.00903,0.0855,0.547,154.996,4
16iApoNZYaN6gbMtRRVV6B,"1nyQBzKgZ2hBLr7PnyV7cI","Incense And Peppermints","Incense And Peppermints","Strawberry Alarm Clock",1967,167453,53,spotify:user:g4badfvhtyh2hed9hcmbtqtjx,2021-04-30T09:22:30Z,"bubblegum pop,classic garage rock,folk rock,freakbeat,psychedelic rock,sunshine pop",0.484,0.655,4,-11.118,1,0.0316,0.033,0,0.0885,0.634,133.158,4
