Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1XOCtdeIjy7eIIPsYFGXzZ,"4JczWHls9n9VpTHnqO2IG8","Mehabooba","Kgf Chapter 2","Ananya Bhat",2022-04-14,212131,60,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T04:58:47Z,"sandalwood",0.382,0.487,6,-11.932,0,0.0565,0.891,0.535,0.324,0.304,159.784,4
7tV73VKungSo0KJaxQoZCD,"5NhkuhSZn24JY7TrjEgkCh","Vesane O Nicchena","Rowdy Boys","Kapil Kapilan, Sameera Bharadwaj",2021-09-03,112901,51,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T04:59:58Z,"",0.744,0.41,2,-10.383,1,0.177,0.31,0.0000746,0.231,0.917,95.107,4
0hNPo5brQ2MLlrdVKZfHK9,"2FgHPfRprDaylrSRVf1UlN,7qjJw7ZM2ekDSahLXPjIlN","Kalaavathi","Kalaavathi - Sarkaru Vaari Paata","Thaman S,Sid Sriram",2022-02-13,242322,67,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:00:22Z,"filmi,tamil pop",0.392,0.574,5,-5.744,1,0.0336,0.627,0,0.532,0.446,65.528,4
18JVTOKs9ghqPLtkMeqffL,"5ds7YHzRIeaGrAKGPR62fA,7qjJw7ZM2ekDSahLXPjIlN,0RGaIKSEzZnlNTLCJKnv0H","Baguntundhi Nuvvu Navvithe (From Atithi Devobhava)","Baguntundhi Nuvvu Navvithe (From Atithi Devobhava)","Shekar Chandra,Sid Sriram,Nutana Mohan",2021-09-27,222580,57,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:00:32Z,"tollywood,filmi",0.76,0.443,6,-9.128,0,0.0426,0.504,0.000797,0.0957,0.632,123.959,4
50RcuWjfUcoJfWMNegXF0b,"6AiX12wXdXFoGJ2vk8zBjy,1lr0MlyZ8Q24eFtn7gcMmI,3ocTwOjekTkFdD695eKuQr","Ee Raathale (From Radhe Shyam)","Ee Raathale (From Radhe Shyam)","Yuvan Shankar Raja,Harini Ivaturi,Justin Prabhakaran",2021-11-15,232762,62,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:00:54Z,"filmi,kollywood,tamil pop",0.63,0.528,9,-8.574,0,0.0311,0.0284,0.00000263,0.107,0.551,124,4
7ox1JFNmfgRtUBY1kx2aIj,"3lnECmHir8dXsqVV0QuruT,4zCH9qm4R2DADamUHMCa6O","Pataas Pilla","DJ Tillu","Sricharan Pakala,Anirudh Ravichander",2022-01-24,202000,56,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:01:03Z,"telugu indie,desi hip hop,filmi,tamil hip hop",0.754,0.545,7,-11.195,1,0.226,0.275,0,0.0792,0.544,150.024,3
7L2D6W7e8mn0zf8cH78Ch4,"6LWyVEIBnx7MoRBhQxu9om,0WiZi3Q419nMpAQEqfBCbk","Sirivennela","Sirivennela - Shyam Singha Roy - Telugu","Anurag Kulkarni,Mickey J. Meyer",2021-12-07,253595,62,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:01:17Z,"tollywood",0.504,0.639,8,-10.265,1,0.0356,0.814,0.00578,0.115,0.764,114.672,5
7uo3wgB8We99kdcJpKDiq9,"6LWyVEIBnx7MoRBhQxu9om,0oOet2f43PA68X5RxKobEy","Ninnele","Radhe Shyam","Anurag Kulkarni,Shreya Ghoshal",2022-03-12,240070,59,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:01:24Z,"tollywood,desi pop,filmi,modern bollywood",0.552,0.429,7,-10.013,0,0.032,0.207,0.00166,0.0841,0.223,132.888,3
5C25HcH9Z4C86cC3YhHyBS,"4A2XSc4OJjuPY4l6NjnrDj,4TR1GJuGfGfrCLjNCI44eZ","Jada","Jada (From Chor Bazaar)","Ram Miriyala,Suresh Bobbili",2022-03-12,212590,50,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:01:32Z,"tollywood",0.586,0.398,4,-7.183,1,0.247,0.685,0,0.143,0.81,84.666,4
0pCXbJ3lbtinCZnwg1CYDC,"7qjJw7ZM2ekDSahLXPjIlN","Leharaayi","Most Eligible Bachelor","Sid Sriram",2020-03-02,245093,57,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:01:44Z,"filmi",0.78,0.608,0,-7.62,0,0.061,0.245,0.0000414,0.0947,0.476,91.975,4
5FzrRiodgp4kXVwXEy26DX,"1advv7h9JDw0JqezZiVAN1,7qjJw7ZM2ekDSahLXPjIlN","Idhi Chala Baagundhi Le","Sehari","Prashanth R Vihari,Sid Sriram",2021-07-29,234613,55,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:01:52Z,"telugu indie,filmi",0.651,0.74,7,-8.2,1,0.0539,0.091,0,0.517,0.446,99.005,4
4GC2IwmYrlC12YfPfHPLQe,"2FgHPfRprDaylrSRVf1UlN,7qjJw7ZM2ekDSahLXPjIlN","Hey Idi Nenena (From Solo Brathuke So Better)","Hey Idi Nenena (From Solo Brathuke So Better)","Thaman S,Sid Sriram",2020-08-26,254999,55,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:01:59Z,"filmi,tamil pop",0.77,0.834,0,-3.375,0,0.0428,0.61,0.00000128,0.0844,0.628,100.997,4
7El6rXuDiiMNreCDv5QKBD,"4tejKImNVmDcORNBuZ1l14","Tharagathi Gadhi - Telugu","Colour Photo","Kala Bhairava",2020-08-27,213437,55,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:02:05Z,"tollywood",0.583,0.644,7,-6.64,1,0.0378,0.628,0,0.0941,0.547,114.953,4
3Jjtn4IEN0cjPcfpvIDsfn,"7qjJw7ZM2ekDSahLXPjIlN","Ye Kannulu Chudani Chitrame","Ardhashathabdam","Sid Sriram",2021-02-12,293934,49,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:02:10Z,"filmi",0.457,0.473,4,-8.639,1,0.0486,0.677,0,0.153,0.401,109.912,4
1C9SYGI40nNYh98gN87Fwr,"4W91bbPB2CTSsHwt7eqNl7,5sSzCxHtgL82pYDvx2QyEU","Nee Kannu Neeli Samudram - Telugu","Uppena","Javed Ali,Devi Sri Prasad",2020-03-02,312374,55,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:02:22Z,"desi pop,filmi,modern bollywood,sufi,tollywood",0.809,0.665,5,-5.495,1,0.036,0.469,0.0000108,0.153,0.959,140.96,3
5nVFeACm96rucybpDAjfK5,"1QvyquqkuuwUzdszyoKIy4,26FsIvdczntiZCsifDzKOK","Ay Pilla - Telugu","Love Story","Haricharan,Pawan Ch",2020-03-12,253773,58,spotify:user:31up236wlf3close634dxuexk6ju,2022-06-15T05:02:28Z,"filmi,tamil pop",0.504,0.554,1,-12.085,1,0.0356,0.347,0.0000136,0.0963,0.386,140.005,4
