Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
32OlwWuMpZ6b0aN2RZOeMS,"3hv9jJF3adDNsBSIQDqcjp,0du5cEVh5yTK9QJze8zA0C","Uptown Funk (feat. Bruno Mars)","Uptown Special","Mark Ronson,Bruno Mars",2015-01-12,269666,82,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:14:58Z,"dance pop,pop",0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
4kbj5MwxO1bq9wjT5g9HaA,"6DIS6PRrLS3wbnZsf7vYic","Shut Up and Dance","TALKING IS HARD","WALK THE MOON",2014-12-02,199080,82,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:15:09Z,"dance rock,indie poptimism,modern alternative rock,modern rock,pop rock,rock",0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4
08mG3Y1vljYA6bvDt4Wqkj,"711MCceyCBcFnzjGY4Q7Un","Back In Black","Back In Black","AC/DC",1980-07-25,255493,83,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:15:35Z,"australian rock,hard rock,rock",0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4
5SZ6zX4rOrEQferfFC2MfP,"7Ey4PD4MYsKc5I2dolUwbH","Walk This Way","Toys In The Attic","Aerosmith",1975-04-08,220400,74,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:15:52Z,"album rock,classic rock,hard rock,rock",0.653,0.73,5,-10.613,1,0.043,0.0114,0.0000103,0.0754,0.894,108.705,4
1UBQ5GK8JaQjm5VbkBZY66,"2AM4ilv6UzW0uMRuqKtDgN","Sharp Dressed Man - 2008 Remaster","Eliminator","ZZ Top",1983-03-23,258026,72,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:16:02Z,"album rock,blues rock,classic rock,country rock,hard rock,rock",0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,4
24NwBd5vZ2CK8VOQVnqdxr,"7Ey4PD4MYsKc5I2dolUwbH","Sweet Emotion","Toys In The Attic","Aerosmith",1975-04-08,274133,72,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:16:22Z,"album rock,classic rock,hard rock,rock",0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,4
7e89621JPkKaeDSTQ3avtg,"4MVyzYMgTwdP7Z49wAZHx0","Sweet Home Alabama","Second Helping (Expanded Edition)","Lynyrd Skynyrd",1974-04-15,283800,80,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:16:28Z,"album rock,blues rock,classic rock,country rock,hard rock,mellow gold,rock,southern rock",0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,4
1QEEqeFIZktqIpPI4jSVSF,"29kkCKKGXheHuoO829FxWK","More Than a Feeling","Boston","Boston",1976,285133,78,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:16:32Z,"album rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock",0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,4
1GqlvSEtMx5xbGptxOTTyk,"29kkCKKGXheHuoO829FxWK","Peace of Mind","Boston","Boston",1976,303586,67,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:16:35Z,"album rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock",0.419,0.677,4,-6.183,1,0.0343,0.00101,0.0000999,0.211,0.684,127.678,4
39C5FuZ8C8M0QI8CrMsPkR,"29kkCKKGXheHuoO829FxWK","Foreplay / Long Time","Boston","Boston",1976,467640,62,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:16:38Z,"album rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock",0.435,0.657,5,-8.868,1,0.0545,0.00983,0.00748,0.0923,0.209,118.704,4
05RgAMGypEvqhNs5hPCbMS,"2cnMpRsOVqtPMfq7YiFE6K","Panama - 2015 Remaster","1984 (Remastered)","Van Halen",1984-01-04,210226,73,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:16:49Z,"album rock,classic rock,hard rock,metal,rock",0.526,0.978,8,-5.436,1,0.108,0.00122,0.0000475,0.0744,0.451,141.167,4
5u5qlnyVaewWugJIjzilIc,"29kkCKKGXheHuoO829FxWK","Smokin'","Boston","Boston",1976,261385,62,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:17:31Z,"album rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock",0.197,0.796,2,-7.335,1,0.0645,0.000541,0.417,0.187,0.522,175.02,4
2b9lp5A6CqSzwOrBfAFhof,"6ZLTlhejhndI4Rh53vYhrY","Crazy Train","Blizzard of Ozz (Expanded Edition)","Ozzy Osbourne",1980-09-20,296200,2,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:17:44Z,"album rock,birmingham metal,hard rock,metal,rock",0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571,4
6l5D1WC6kR5cxaUOEyCGvs,"33QmoCkSqADuQEtMCysYLh","Sugar, Sugar","Sugar Sugar","The Archies",1968-01-15,163715,47,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:19:05Z,"brill building pop,bubblegum pop,classic canadian rock",0.78,0.524,2,-12.072,1,0.0321,0.668,0.0000647,0.293,0.953,124.181,4
5eieTS268veCXyZoLoy7eP,"72NXpYBIaTfEeAAsxXLs0P","Knock Three Times","Candida","Tony Orlando & Dawn",1970,177173,57,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:19:18Z,"adult standards,brill building pop,bubblegum pop,classic uk pop,soft rock",0.774,0.58,1,-10.08,1,0.0512,0.158,0,0.0458,0.923,123.127,4
6sPOmDulFtLzfX25zICNrC,"4GITZM5LCR2KcdlgEOrNLD","Build Me Up Buttercup","The Foundations","The Foundations",1968-01-01,177533,70,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:19:23Z,"brill building pop,bubblegum pop,rock-and-roll,soul",0.659,0.513,0,-7.186,1,0.0293,0.315,0,0.283,0.855,133.609,4
5pkd9ib1RgbkAd1R9bIOCa,"7mEIug7XUlQHikrFxjTWes","Cracklin' Rosie - Single Version","Tap Root Manuscript","Neil Diamond",1970,179933,64,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:20:00Z,"adult standards,brill building pop,classic rock,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.562,0.503,1,-14.836,1,0.0335,0.319,0,0.163,0.846,127.827,4
22vqiTM3mI3r4P1P2N4qUi,"7u1mqP3ykglpCB2c1p1p5I","I Think I Love You","Partridge Family Album","The Partridge Family",1970,175306,54,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:20:09Z,"bubblegum pop",0.413,0.6,3,-9.096,1,0.0412,0.236,0,0.0457,0.725,204.692,4
6rovOdp3HgK1DeAMYDzoA7,"2y8Jo9CKhJvtfeKOsYzRdT","Maggie May","Every Picture Tells A Story","Rod Stewart",1971-05-18,350266,70,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:20:10Z,"mellow gold,soft rock",0.605,0.574,2,-10.536,1,0.0377,0.559,0.113,0.0684,0.543,129.449,4
6HRf1OVW3V0pvy3Idph1Ap,"7mEIug7XUlQHikrFxjTWes","Song Sung Blue - Single Version","His 12 Greatest Hits","Neil Diamond",1974-03-01,194266,28,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:20:32Z,"adult standards,brill building pop,classic rock,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.508,0.407,0,-12.775,1,0.0282,0.359,0.00000372,0.143,0.357,109.144,4
2BY7ALEWdloFHgQZG6VMLA,"5jJN1nmKXzRjodMl1THQeI","Brandy (You're a Fine Girl)","Looking Glass","Looking Glass",1972,186826,73,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:20:40Z,"soft rock,sunshine pop",0.716,0.625,1,-11.369,0,0.0601,0.396,0.0000197,0.134,0.826,125.276,4
5VSAonaAPhhGn0G7hMYwWK,"35U9lQaRWSQISxQAB94Meo","Sister Golden Hair","Hearts","America",1975,199573,69,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:20:50Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.441,0.547,4,-12.222,1,0.0337,0.13,0.000143,0.109,0.716,134.753,4
0jvN7eQJJt4nxQzgQfZ1SP,"7f8LNBVXN0h35veHrpxQFL","Spirit In The Sky","Spirit In The Sky","Norman Greenbaum",1969-01-01,242893,74,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:21:01Z,"classic rock",0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,4
4pCNJwixy2ImFncaPY2yE2,"7BEfMxbaqx6dOpbtlEqScm","Love Will Keep Us Together","Love Will Keep Us Together","Captain & Tennille",1975-01-01,205493,63,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:21:05Z,"adult standards,brill building pop,bubblegum pop,classic uk pop,country rock,disco,folk rock,mellow gold,quiet storm,singer-songwriter,soft rock,yacht rock",0.621,0.788,4,-4.326,1,0.0314,0.354,0,0.305,0.926,129.62,4
6xMHglHoafdDFGXS6qfwSH,"6IRouO5mvvfcyxtPDKMYFN","Hot Blooded","Double Vision (Expanded)","Foreigner",1978,268693,62,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:21:39Z,"album rock,classic rock,hard rock,mellow gold,rock,soft rock",0.705,0.806,0,-4.83,1,0.0814,0.229,0,0.0676,0.763,117.945,4
6FsQrRpBLgsrFeAeiQqytm,"3dBVyJ7JuOMt4GE9607Qin","Bang a Gong (Get It On) - 2003 Remaster","Electric Warrior [Expanded & Remastered]","T. Rex",1971-09-24,267000,61,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:21:40Z,"album rock,art rock,blues rock,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock",0.729,0.818,2,-9.992,1,0.0732,0.157,0.284,0.195,0.906,125.814,4
0P6fEgTn3cxLLyYTJYoYGj,"4FAEZeJcsYYBkNq2D3KGTV","Shambala - Single Version","Cyan","Three Dog Night",1973,204106,62,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:22:08Z,"album rock,art rock,blues rock,brill building pop,bubblegum pop,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,soft rock",0.551,0.62,9,-11.464,1,0.0348,0.64,0.00147,0.559,0.834,127.495,4
1WkMMavIMc4JZ8cfMmxHkI,"31TPClRtHm23RisEBtV3X7","CAN'T STOP THE FEELING! (from DreamWorks Animation's TROLLS)","TROLLS (Original Motion Picture Soundtrack)","Justin Timberlake",2016-09-23,237546,72,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:35:19Z,"dance pop,pop",0.669,0.832,0,-5.721,1,0.0682,0.0106,0,0.0968,0.7,113.035,4
3gHc5XTAywdFQUsHS6DD7G,"2oX42qP5ineK3hrhBECLmj","Good To Be Alive (Hallelujah)","Magazines Or Novels (Deluxe Edition)","Andy Grammer",2015-11-20,189098,58,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2019-05-27T11:36:54Z,"dance pop,neo mellow,pop,pop rap,pop rock,post-teen pop",0.797,0.896,5,-3.678,1,0.0512,0.0349,0,0.635,0.685,120.037,4
6D60klaHqbCl9ySc8VcRss,"3BmGtnKgCSGYIUhmivXKWX","Stronger (What Doesn't Kill You)","Stronger (Deluxe Version)","Kelly Clarkson",2011-10-24,221946,65,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2020-01-20T11:51:01Z,"dance pop,pop,post-teen pop,talent show",0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,4
4D40ZlFAWsvX7lua1Kablh,"3sFhA6G1N0gG1pszb6kk1m","Jet - 2010 Remaster","Band On The Run (Standard)","Wings",1973-12-05,248360,58,spotify:user:21h7zeuj2zcdevrh3p4mm4vpy,2020-01-20T11:59:04Z,"album rock,art rock,beatlesque,classic rock,folk rock,mellow gold,rock,singer-songwriter,soft rock",0.504,0.739,9,-7.265,1,0.0316,0.0179,0.08,0.0949,0.417,128.918,4
