Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2QjOHCTQ1Jl3zawyYOpxh6,"77SW9BnxLY8rJ0RciFqkHh","Sweater Weather","I Love You.","The Neighbourhood",2013-04-19,240400,92,spotify:user:31rxebylqt37vtukaphhv3ofkq3y,2022-09-08T15:50:49Z,"modern alternative rock,modern rock,pop,shimmer pop",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
5E30LdtzQTGqRvNd7l6kG5,"77SW9BnxLY8rJ0RciFqkHh","Daddy Issues","Wiped Out!","The Neighbourhood",2015-10-30,260173,86,spotify:user:31rxebylqt37vtukaphhv3ofkq3y,2022-09-08T15:54:55Z,"modern alternative rock,modern rock,pop,shimmer pop",0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4
2K7xn816oNHJZ0aVqdQsha,"77SW9BnxLY8rJ0RciFqkHh","Softcore","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,206280,85,spotify:user:31rxebylqt37vtukaphhv3ofkq3y,2022-09-08T15:55:01Z,"modern alternative rock,modern rock,pop,shimmer pop",0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4
2u0CelO5c81XS7z3dGpHbS,"77SW9BnxLY8rJ0RciFqkHh","The Beach","Wiped Out!","The Neighbourhood",2015-10-30,255133,77,spotify:user:31rxebylqt37vtukaphhv3ofkq3y,2022-09-08T15:55:05Z,"modern alternative rock,modern rock,pop,shimmer pop",0.245,0.64,2,-7.426,0,0.0608,0.131,0.00000811,0.0766,0.105,135.739,4
1aXV8GrmQLvgoFtBPERP7E,"3XxNRirzbjfLdDli06zMaB","Jealous","Jealous","Eyedress",2019-12-06,122338,83,spotify:user:31rxebylqt37vtukaphhv3ofkq3y,2022-09-08T15:55:08Z,"noise pop",0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,4
0Oqc0kKFsQ6MhFOLBNZIGX,"00FQb4jTyendYWaN8pK0wa","Doin' Time","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,202192,81,spotify:user:31rxebylqt37vtukaphhv3ofkq3y,2022-09-08T15:55:13Z,"art pop,pop",0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,4
3jjsRKEsF42ccXf8kWR3nu,"2uYWxilOVlUdk4oV9DvwqK","Washing Machine Heart","Be the Cowboy","Mitski",2018-08-17,128198,82,spotify:user:31rxebylqt37vtukaphhv3ofkq3y,2022-09-08T15:55:20Z,"brooklyn indie,pop",0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,4
0xD23i0X1WjqMSYIxRfO80,"77SW9BnxLY8rJ0RciFqkHh","Unfair","#000000 & #FFFFFF","The Neighbourhood",2014-11-28,146866,71,spotify:user:31rxebylqt37vtukaphhv3ofkq3y,2022-09-08T15:55:33Z,"modern alternative rock,modern rock,pop,shimmer pop",0.477,0.572,8,-7.328,1,0.0319,0.00708,0.784,0.144,0.0414,194.033,4
5JCoSi02qi3jJeHdZXMmR8,"1McMsnEElThX1knmY4oliG","favorite crime","SOUR","Olivia Rodrigo",2021-05-21,152666,84,spotify:user:31rxebylqt37vtukaphhv3ofkq3y,2022-09-08T15:55:41Z,"pop",0.369,0.272,9,-10.497,1,0.0364,0.866,0,0.147,0.218,172.929,4
5CZ40GBx1sQ9agT82CLQCT,"1McMsnEElThX1knmY4oliG","traitor","SOUR","Olivia Rodrigo",2021-05-21,229226,86,spotify:user:31rxebylqt37vtukaphhv3ofkq3y,2022-09-08T15:55:46Z,"pop",0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,4
