Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3azJifCSqg9fRij2yKIbWz,"2jku7tDXc6XoB6MO2hFuqg","The Color Violet","Alone At Prom","Tory Lanez",2021-12-10,226466,85,spotify:user:31nwx7jepxorf5xd2jx7hxm6c7cm,2022-08-11T05:49:18Z,"canadian hip hop,canadian trap,melodic rap,pop,pop rap,r&b,rap,toronto rap,trap",0.645,0.534,6,-10.8,0,0.0479,0.157,0,0.0863,0.463,105.02,4
4y5bvROuBDPr5fuwXbIBZR,"06HL4z0CvFAxyc27GXpf02","Paper Rings","Lover","Taylor Swift",2019-08-23,222400,81,spotify:user:31nwx7jepxorf5xd2jx7hxm6c7cm,2022-04-27T02:51:02Z,"pop",0.811,0.719,9,-6.553,1,0.0497,0.0129,0.0000136,0.0742,0.865,103.979,4
6GGmABM6AMwMzEhK7szqJT,"2jku7tDXc6XoB6MO2hFuqg,5cdrxr9s52oZCf78xOLa4R","Pink Dolphin Sunset (feat. Tee)","Alone At Prom","Tory Lanez,Tee",2021-12-10,212450,64,spotify:user:31nwx7jepxorf5xd2jx7hxm6c7cm,2022-09-01T02:04:48Z,"canadian hip hop,canadian trap,melodic rap,pop,pop rap,r&b,rap,toronto rap,trap",0.772,0.457,7,-8.359,1,0.0365,0.00193,0.00000171,0.0739,0.527,111.997,4
2Gn3xsO0hacXJy1Z2EHrgm,"7CGSp2GbiOpLPSq61qjxf8,0sKsReKseslDlhxmbN6wLk","223's (feat. BabyTron)","BACK IN ACTION 3.0","midwxst,BabyTron",2022-09-07,133136,67,spotify:user:31nwx7jepxorf5xd2jx7hxm6c7cm,2022-09-09T11:13:22Z,"glitchcore,hyperpop,proto-hyperpop,detroit hip hop,scam rap",0.469,0.703,0,-6.032,1,0.297,0.00657,0.000044,0.553,0.311,97.522,4
2aerPJ594vJMo0lK0hHGRO,"0fA0VVWsXO9YnASrzqfmYu","In Love","Entergalactic","Kid Cudi",2022-09-30,218160,64,spotify:user:31nwx7jepxorf5xd2jx7hxm6c7cm,2022-09-30T04:14:08Z,"hip hop,ohio hip hop,rap",0.641,0.522,0,-8.049,0,0.0293,0.165,0.00406,0.102,0.273,121.478,3
4AmISPiQJMPLN4KootjCUu,"0fA0VVWsXO9YnASrzqfmYu,7c0XG5cIJTrrAgEC3ULPiq","Can't Shake Her (with Ty Dolla $ign)","Entergalactic","Kid Cudi,Ty Dolla $ign",2022-09-30,176600,62,spotify:user:31nwx7jepxorf5xd2jx7hxm6c7cm,2022-09-30T04:19:53Z,"hip hop,ohio hip hop,rap,dance pop,pop,pop rap,r&b,southern hip hop,trap,trap soul",0.633,0.629,9,-9.328,0,0.0348,0.0274,0.00000118,0.206,0.492,121.045,4
7DUC9HWpuasTu9k3MofIYJ,"31431J9PD3bfNsPKkezt0d","Diet Coke / inside","Forward / Slash","Leanna Firestone",2022-02-24,273895,33,spotify:user:31nwx7jepxorf5xd2jx7hxm6c7cm,2022-10-01T22:24:33Z,"alt z,indie pop",0.666,0.692,4,-6.746,1,0.063,0.505,0.000266,0.283,0.147,127.966,4
1ffUWQfh7ErLeD2Tzhcl5x,"31431J9PD3bfNsPKkezt0d","Gambling Addiction / eleven elevens","Forward / Slash","Leanna Firestone",2022-02-24,247775,33,spotify:user:31nwx7jepxorf5xd2jx7hxm6c7cm,2022-10-01T22:32:38Z,"alt z,indie pop",0.495,0.609,7,-8.074,1,0.0431,0.591,0.000117,0.254,0.381,152.009,4
1au2UduxcvHfa0fZS3Szci,"2jku7tDXc6XoB6MO2hFuqg","Lavender Sunflower","Alone At Prom","Tory Lanez",2021-12-10,151966,73,spotify:user:31nwx7jepxorf5xd2jx7hxm6c7cm,2022-10-01T23:01:14Z,"canadian hip hop,canadian trap,melodic rap,pop,pop rap,r&b,rap,toronto rap,trap",0.607,0.735,4,-6.065,0,0.095,0.253,0,0.11,0.964,88.894,4
43pulC9QdGwabXUtVHYnjY,"2RVvqRBon9NgaGXKfywDSs","Not Another Rockstar","Not Another Rockstar","Maisie Peters",2022-10-07,149053,73,spotify:user:31nwx7jepxorf5xd2jx7hxm6c7cm,2022-10-08T02:35:29Z,"alt z,pop,post-teen pop,uk pop",0.658,0.815,3,-2.141,0,0.14,0.214,0.00000124,0.126,0.818,91.041,4
5xvXeuxISyXJDRbZZf4uzd,"5K4W6rqBFWDnAN6FQUkS6x","Come to Life","Donda","Kanye West",2021-08-29,310393,60,spotify:user:31nwx7jepxorf5xd2jx7hxm6c7cm,2022-10-11T11:05:36Z,"chicago rap,rap",0.44,0.465,3,-6.592,1,0.0318,0.689,0.00000126,0.384,0.241,126.937,4
5xhHy5mpWsCkjo00LYRLSm,"1t20wYnTiAT0Bs7H1hv9Wt,04Y8tvC7J3R2k5iz73Zk0V","End Credits","End Credits","EDEN,Leah Kelly",2015-08-08,240389,52,spotify:user:31nwx7jepxorf5xd2jx7hxm6c7cm,2022-10-14T02:45:09Z,"indie poptimism,pop",0.434,0.505,0,-5.104,0,0.143,0.589,0,0.0859,0.313,171.346,4
