Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5bcTCxgc7xVfSaMV3RuVke,"7CajNmpbOovFoOoasH2HaY,2RdwBSPQiwcmiDo9kixcl8,6jJ0s89eD6GaHleKKya26X,0c173mlxpT3dSFRgMO8XPh,4A0TivfinfALCAMJqqjZIk","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Funk Wav Bounces Vol.1","Calvin Harris,Pharrell Williams,Katy Perry,Big Sean,Funk Wav",2017-06-30,223413,77,spotify:user:candyqueen704,2018-07-16T19:40:50Z,"dance pop,edm,electro house,house,pop,progressive house,uk dance,hip hop,pop rap,detroit hip hop,r&b,rap,southern hip hop,trap",0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,4
77TT8Xvx637TpzV8kKGkUw,"1Cs0zKBU1kc0i8ypK3B9ai,5WUlDfRSoLAfcVSX1WnrxN","Titanium (feat. Sia)","Nothing but the Beat","David Guetta,Sia",2011-08-31,245040,59,spotify:user:candyqueen704,2018-07-16T19:40:54Z,"big room,dance pop,edm,pop,pop dance,australian dance,australian pop",0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,4
3zHq9ouUJQFQRf3cm1rRLu,"0X2BH1fck6amBIoJhDVmmJ","Love Me Like You Do - From Fifty Shades Of Grey","Delirium (Deluxe)","Ellie Goulding",2015-11-06,252534,78,spotify:user:candyqueen704,2018-07-16T19:40:58Z,"dance pop,edm,electropop,indietronica,metropopolis,pop,post-teen pop,uk pop",0.262,0.606,8,-6.646,1,0.0484,0.247,0,0.125,0.275,189.857,4
0qOnSQQF0yzuPWsXrQ9paz,"4IJczjB0fJ04gs4uvP0Fli,4bYPcJP5jwMhSivRcqie2n","Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes,애덤 리바인",2011-11-11,210960,81,spotify:user:candyqueen704,2018-07-16T19:41:03Z,"dance pop,pop rap,deep talent show",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
5KONnBIQ9LqCxyeSPin26k,"07YZf4WDAMNwqr4jfgOZ8y","Trumpets","Talk Dirty","Jason Derulo",2013-09-10,217419,63,spotify:user:candyqueen704,2018-07-16T19:41:15Z,"dance pop,edm,pop,pop rap,post-teen pop",0.635,0.691,0,-4.862,1,0.258,0.555,0,0.097,0.638,82.142,4
6lV2MSQmRIkycDScNtrBXO,"5ndkK3dpZLKtBklKjxNQwT,6Rx1JKzBrSzoKQtmbVmBnM","Airplanes (feat. Hayley Williams of Paramore)","B.o.B Presents: The Adventures of Bobby Ray","B.o.B,Hayley Williams",2010-04-27,180480,75,spotify:user:candyqueen704,2018-07-16T19:41:21Z,"atl hip hop,dance pop,hip hop,pop,pop rap,rap,southern hip hop,art pop,indie pop",0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,4
22VdIZQfgXJea34mQxlt81,"1Xyo4u8uXC1ZmMpatF05PJ","Can't Feel My Face","Beauty Behind The Madness","The Weeknd",2015-08-28,213520,81,spotify:user:candyqueen704,2018-07-16T19:41:26Z,"canadian contemporary r&b,canadian pop,pop",0.705,0.769,9,-5.526,0,0.0425,0.113,0,0.105,0.583,107.949,4
3B54sVLJ402zGa6Xm4YGNe,"6vXTefBL93Dj5IqAWq6OTv,1zNqQNIdeOUZHb8zbZRFMX","Unforgettable","Jungle Rules","French Montana,Swae Lee",2017-07-14,233901,81,spotify:user:candyqueen704,2018-07-16T19:41:35Z,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap,melodic rap",0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4
3AGOgQzp0YcPH41u9p7dOp,"2NhdGz9EDv2FeUw6udu2g1","Glad You Came","The Wanted (Special Edition)","The Wanted",2012-01-01,198186,62,spotify:user:candyqueen704,2018-07-16T19:41:41Z,"boy band,dance pop,edm,pop,pop rock,post-teen pop",0.61,0.841,7,-4.579,0,0.0692,0.056,0.00000985,0.118,0.431,126.889,4
4gbVRS8gloEluzf0GzDOFc,"04gDigrS5kc9YWfZHwBETP","Maps","V","Maroon 5",2014-09-02,189960,83,spotify:user:candyqueen704,2018-07-16T19:41:46Z,"pop",0.742,0.713,1,-5.522,0,0.0303,0.0205,0,0.059,0.879,120.032,4
