Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3nqQXoyQOWXiESFLlDF1hG,"2wY79sveU1sp5g7SokKOiI,3Xt3RrJMFv5SZkCfUE8C1J","Unholy (feat. Kim Petras)","Unholy (feat. Kim Petras)","Sam Smith,Kim Petras",2022-09-22,156943,100,spotify:user:redmusiccompany,2022-10-10T01:23:28Z,"dance pop,pop,uk pop,post-teen pop,transpop",0.714,0.472,2,-7.375,1,0.0864,0.013,0.00000451,0.266,0.238,131.121,4
0QHEIqNKsMoOY5urbzN48u,"6JL8zeS1NmiOftqZTRgdTz","Made You Look","Takin' It Back","Meghan Trainor",2022-10-21,134256,92,spotify:user:redmusiccompany,2022-11-04T02:33:57Z,"dance pop,hip pop,pop,post-teen pop",0.838,0.525,10,-3.562,1,0.0665,0.345,0.00000192,0.0771,0.884,144.981,4
4LRPiXqCikLlN15c3yImP7,"6KImCVD70vtIoJWnq6nGn3","As It Was","As It Was","Harry Styles",2022-03-31,167303,93,spotify:user:redmusiccompany,2022-09-29T09:34:20Z,"pop",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
1Q0vtSAI5moViuA9VTjZhh,"3Dz0f730wRRuOTGBx4jLUD","Tip Of My Tongue","Tip Of My Tongue","SaifLove",2022-11-11,170208,40,spotify:user:redmusiccompany,2022-11-24T07:41:02Z,"",0.741,0.596,5,-5.224,0,0.0328,0.181,0,0.115,0.52,108.005,4
0V3wPSX9ygBnCm8psDIegu,"06HL4z0CvFAxyc27GXpf02","Anti-Hero","Midnights","Taylor Swift",2022-10-21,200690,97,spotify:user:redmusiccompany,2022-11-22T05:30:59Z,"pop",0.637,0.643,4,-6.571,1,0.0519,0.13,0.0000018,0.142,0.533,97.008,4
0mBP9X2gPCuapvpZ7TGDk3,"6VuMaDnrHyPL1p4EHjYLi7,6HaGTQPmzraVmaVxvz6EUc,3Nrfpe0tUJi4K4DXYWgMUX","Left and Right (Feat. Jung Kook of BTS)","Left and Right (Feat. Jung Kook of BTS)","Charlie Puth,정국,방탄소년단",2022-06-24,154486,87,spotify:user:redmusiccompany,2022-09-29T09:34:20Z,"dance pop,pop,viral pop,k-pop,k-pop boy group",0.881,0.592,2,-4.898,1,0.0324,0.619,0.0000132,0.0901,0.719,101.058,4
4h9wh7iOZ0GGn8QVp4RAOB,"5Pwc4xIPtQLFEnJriah9YJ","I Ain't Worried","I Ain’t Worried (Music From The Motion Picture Top Gun: Maverick)","OneRepublic",2022-05-13,148485,95,spotify:user:redmusiccompany,2022-10-10T01:23:28Z,"piano rock,pop",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
0gYXw7aPoybWFfB7btQ0eM,"1yxSLGMDHlW21z4YXirZDS,0EmeFodog0BfCgMzAIvKQp,1Cs0zKBU1kc0i8ypK3B9ai","DON'T YOU WORRY","DON'T YOU WORRY","Black Eyed Peas,Shakira,David Guetta",2022-06-17,196363,82,spotify:user:redmusiccompany,2022-09-29T09:34:20Z,"dance pop,pop,pop rap,colombian pop,latin pop,big room,edm,pop dance",0.816,0.875,11,-4.821,1,0.0311,0.203,0,0.209,0.491,131.958,4
6RKIi9Q55oPXLSIhC8O6sX,"7cX5nIwB2BeI30nhWzs3yH","One Night Stand","One Night Stand","Lonnie",2022-11-09,144801,41,spotify:user:redmusiccompany,2022-11-22T23:33:40Z,"",0.387,0.819,1,-3.194,1,0.0883,0.119,0,0.0783,0.325,121.942,4
0oWraSo5ASJ0h1BEagTyEw,"1HY2Jd0NmPuamShAr6KMms","Hold My Hand","Hold My Hand (Music From The Motion Picture Top Gun: Maverick)","Lady Gaga",2022-05-03,225300,78,spotify:user:redmusiccompany,2022-09-29T09:34:20Z,"art pop,dance pop,pop",0.519,0.617,7,-4.287,1,0.0313,0.0387,0,0.401,0.222,147.708,3
