Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1UmFLqmTmgHoSyvss6Q7gw,"5qa31A9HySw3T7MKWI9bGg","Serial Heartbreaker","Girl Of My Dreams","FLETCHER",2022-09-16,133226,68,spotify:user:,2022-11-24T23:00:00Z,"alt z,dance pop,electropop,pop,post-teen pop",0.587,0.873,2,-4.395,1,0.0693,0.11,0.00339,0.236,0.52,169.971,4
6qmvAJSUfVGMubvI2awW7p,"45dkTj5sMRSjrmBSBeiHym","uh oh","uh oh","Tate McRae",2022-09-30,169721,78,spotify:user:,2022-11-24T23:00:00Z,"pop",0.625,0.604,10,-7.415,0,0.339,0.257,0.0000206,0.129,0.372,174.089,4
6kxaaIeowajN7w21PfMLbu,"26VFTg2z8YR0cCuwLzESi2","So Good","So Good","Halsey",2022-06-09,176058,75,spotify:user:,2022-11-24T23:00:00Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.576,0.627,3,-4.649,0,0.0449,0.0385,0,0.181,0.311,164.998,4
1elhmWW7Bv0MOQj2gAsyoV,"2qxJFvFYMEDqd7ui6kSAcq,6WY7D3jk8zTrHtmkqqo5GI,2Wzb0u138rgoZQTK3ytknT","Make You Say","Make You Say","Zedd,Maren Morris,BEAUZ",2022-08-19,206000,72,spotify:user:,2022-11-24T23:00:00Z,"complextro,dance pop,edm,electro house,electropop,german techno,pop,pop dance,pop rap,post-teen pop,tropical house,contemporary country,country,texas country,pop edm",0.687,0.61,8,-4.713,0,0.0499,0.351,0,0.175,0.649,128.15,4
4SDccIA3pVkjaZsivDPaV5,"0ZED1XzwlLHW4ZaG4lOT6m","Sorry To Me Too","Sorry To Me Too","Julia Michaels",2022-11-11,209596,71,spotify:user:,2022-11-24T23:00:00Z,"alt z,dance pop,electropop,pop,post-teen pop",0.682,0.642,11,-6.765,0,0.0825,0.391,0.000271,0.107,0.387,148.127,4
0sPrs9vLFdRRTllqlwL4v1,"2ZRQcIgzPCVaT9XKhXZIzh,1QRj3hoop9Mv5VvHQkwPEp","Caught Up (with Olivia O'Brien)","Caught Up (with Olivia O'Brien)","Gryffin,Olivia O'Brien",2022-05-13,173214,65,spotify:user:,2022-11-24T23:00:00Z,"dance pop,edm,pop,pop dance,tropical house,alt z,electropop,post-teen pop",0.704,0.822,5,-4.691,0,0.0367,0.00953,0.0011,0.156,0.534,122.032,4
6whql8yh4n96c8Zl4MYkVG,"55fhWPvDiMpLnE4ZzNXZyW","I Just Want a Lover","The Hardest Part","Noah Cyrus",2022-09-16,201463,61,spotify:user:,2022-11-24T23:00:00Z,"pop,post-teen pop",0.666,0.798,2,-7.04,0,0.027,0.128,0.00665,0.15,0.904,119.941,4
0HPJa3SJksQakwtOrJT7pj,"2FwJwEswyIUAljqgjNSHgP,0NIIxcxNHmOoyBx03SfTCD","Who's Gonna Love You Tonight (with Tinashe)","Who's Gonna Love You Tonight (with Tinashe)","Snakehips,Tinashe",2022-09-09,196535,55,spotify:user:,2022-11-24T23:00:00Z,"edm,electropop,pop,pop dance,tropical house,alternative r&b,dance pop,metropopolis,post-teen pop,r&b,rap,urban contemporary",0.519,0.746,5,-5.217,1,0.0505,0.386,0,0.117,0.527,90.999,4
01tEAvdPLPREA9JT9Wpb26,"2cFrymmkijnjDg9SS92EPM,55VydwMyCuGcavwPuhutPL","toxic energy (with Bert McCracken of The Used)","in loving memory","blackbear,The Used",2022-08-26,191559,59,spotify:user:,2022-11-24T23:00:00Z,"pop,pop rap,post-hardcore,screamo",0.556,0.865,6,-2.982,0,0.0658,0.00341,0,0.243,0.432,91.045,4
3CRLMDJygwt1KWMg1FASye,"5qa31A9HySw3T7MKWI9bGg","Sting","Sting","FLETCHER",2022-09-02,187253,55,spotify:user:,2022-11-24T23:00:00Z,"alt z,dance pop,electropop,pop,post-teen pop",0.521,0.626,8,-7.245,1,0.0591,0.261,0,0.161,0.512,95.011,4
