Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6NeWfJtmJQvv9vqveDuaFy,"7tqYLHfwfsXiXdFtMIds2K","Baby Let Me Kiss You","Groove Me","Fern Kinney",1979-03-15,498266,38,spotify:user:christinequeens,2022-09-21T15:45:23Z,"deep disco",0.794,0.387,8,-15.471,1,0.0462,0.0329,0.0153,0.1,0.819,165.725,4
1NN9UaLVAKq4ADId81JgUK,"2f9ZiYA2ic1r1voObUimdd","I'm Not Perfect (But I'm Perfect For You) - Remastered","Inside Story","Grace Jones",1986,238373,34,spotify:user:christinequeens,2022-09-21T15:45:40Z,"art rock,dance pop,disco,new romantic,new wave pop,synthpop",0.727,0.839,10,-8.145,0,0.0337,0.0694,0.00268,0.111,0.737,108.964,4
7tiUPlYONzFNHRmDwCbhy7,"3fhOTtm0LBJ3Ojn4hIljLo","Angel Eyes","The Best Of Roxy Music","Roxy Music",2001-01-01,171600,46,spotify:user:christinequeens,2022-09-21T15:46:04Z,"art rock,classic rock,glam rock,melancholia,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,sophisti-pop",0.68,0.837,5,-6.755,1,0.0416,0.0385,0.00163,0.0618,0.851,132.156,4
6GDjRGJdHG1QYQ8ArXxdr1,"3fhOTtm0LBJ3Ojn4hIljLo","Rain, Rain, Rain","Flesh And Blood","Roxy Music",1980-06-01,200866,29,spotify:user:christinequeens,2022-09-21T15:46:20Z,"art rock,classic rock,glam rock,melancholia,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,sophisti-pop",0.825,0.801,9,-7.957,0,0.0564,0.142,0.000598,0.0963,0.465,130.473,4
3K0SJUQNbOkUprTFcwwAKN,"3VNITwohbvU5Wuy5PC6dsI","Jungle Boogie","Wild And Peaceful","Kool & The Gang",1973-09,186533,61,spotify:user:christinequeens,2022-09-21T15:46:58Z,"disco,funk,post-disco,quiet storm,soul",0.808,0.85,5,-8.772,1,0.0868,0.115,0.000109,0.316,0.717,106.855,4
2N6K5SZbFmUicmEbeH18fb,"6DqFCzjARUV3xH9meu3Bya","Nem Vem Que Não Tem - Ao Vivo","Alegria! Alegria! Vol.2","Wilson Simonal",1968-09-16,151013,24,spotify:user:christinequeens,2022-09-21T15:47:25Z,"bossa nova,mpb,pagode,samba,tropicalia,velha guarda",0.753,0.657,5,-7.514,1,0.0536,0.181,0,0.684,0.896,121.289,4
0ncZf17rpUR15VugN52rWb,"7HGNYPmbDrMkylWqeFCOIQ","Eu Sou Neguinha?","Muito Mais","Caetano Veloso",2005-01-01,301066,12,spotify:user:christinequeens,2022-09-21T15:48:43Z,"bossa nova,mpb,samba de roda,tropicalia",0.805,0.526,11,-9.247,0,0.135,0.042,0.0000271,0.333,0.956,144.936,4
1qPgnjnN6BygtDyHCt5uTp,"7HGNYPmbDrMkylWqeFCOIQ","Terra","Muito Mais","Caetano Veloso",2005-01-01,396600,15,spotify:user:christinequeens,2022-09-21T15:49:16Z,"bossa nova,mpb,samba de roda,tropicalia",0.564,0.284,0,-11.597,1,0.0332,0.636,0.000918,0.114,0.218,121.246,4
4GldaY02BCVmDp82TU1Cpg,"7HGNYPmbDrMkylWqeFCOIQ","Maria Bethânia","Caetano Veloso","Caetano Veloso",1971-01-01,415040,32,spotify:user:christinequeens,2022-09-21T15:49:34Z,"bossa nova,mpb,samba de roda,tropicalia",0.62,0.484,9,-13.554,1,0.179,0.837,0.356,0.0992,0.637,130.611,4
5m27OhoyGJ6fOMVS7T9eUT,"0ZqhrTXYPA9DZR527ZnFdO","Tarde","Native Dancer","Wayne Shorter",1975-01-18,348746,26,spotify:user:christinequeens,2022-09-21T15:50:00Z,"contemporary jazz,contemporary post-bop,free jazz,hard bop,jazz,jazz funk,jazz fusion,jazz saxophone",0.424,0.303,4,-9.491,0,0.027,0.887,0.33,0.0958,0.0554,104.866,4
