Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4KW1lqgSr8TKrvBII0Brf8,"5K4W6rqBFWDnAN6FQUkS6x","Father Stretch My Hands Pt. 1","The Life Of Pablo","Kanye West",2016-06-10,135920,82,spotify:user:jhoserchavez2741,2022-07-03T18:43:10Z,"chicago rap,rap",0.724,0.573,7,-4.113,1,0.0549,0.118,0,0.538,0.438,113.088,4
5v7kaZNsnyByrSJOfO8gKq,"46SHBwWsqBkxI7EeeBEQG7","Skrt","Skrt","Kodak Black",2016-02-12,224864,63,spotify:user:jhoserchavez2741,2022-07-03T18:43:19Z,"florida rap,hip hop,melodic rap,miami hip hop,rap,trap",0.901,0.352,2,-10.038,1,0.0916,0.585,0,0.122,0.199,111.065,4
2G6PeWL4JanUge47LNdFtJ,"46SHBwWsqBkxI7EeeBEQG7","Institution","Institution","Kodak Black",2015-12-26,176091,62,spotify:user:jhoserchavez2741,2022-07-03T18:45:14Z,"florida rap,hip hop,melodic rap,miami hip hop,rap,trap",0.672,0.457,9,-10.647,1,0.205,0.492,0,0.184,0.596,86.717,5
59nOXPmaKlBfGMDeOVGrIK,"1RyvyyTE3xzB2ZywiAwp0i,3TVXtAsR1Inumwj472S9r4,687cZJR45JO7jhk1LHIbgq","WAIT FOR U (feat. Drake & Tems)","I NEVER LIKED YOU","Future,Drake,Tems",2022-04-29,189893,88,spotify:user:jhoserchavez2741,2022-07-03T18:48:44Z,"atl hip hop,hip hop,rap,southern hip hop,trap,canadian hip hop,canadian pop,toronto rap,afro r&b,alte,nigerian pop,r&b",0.463,0.642,1,-4.474,1,0.34,0.314,0,0.0686,0.339,83.389,4
3Q4gttWQ6hxqWOa3tHoTNi,"3TVXtAsR1Inumwj472S9r4,7bXgB6jMjp9ATFy66eO08Z","Not You Too (feat. Chris Brown)","Dark Lane Demo Tapes","Drake,Chris Brown",2020-05-01,269680,69,spotify:user:jhoserchavez2741,2022-07-03T18:52:05Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,dance pop,pop,r&b",0.458,0.452,9,-9.299,0,0.047,0.342,0.0000194,0.0703,0.316,86.318,4
4siBGOOtNzTziftTuoYeDV,"3hcs9uc56yIGFCSy9leWe7,2hlmm7s2ICUX0LVIhVFlZQ,65rDIPdQD7ijLSOq32cMXo","Home Body (feat. Gunna & TK Kravitz)","Just Cause Y'all Waited","Lil Durk,Gunna,TK Kravitz",2018-03-30,203157,59,spotify:user:jhoserchavez2741,2022-07-03T18:52:12Z,"chicago drill,chicago rap,drill,hip hop,rap,trap,atl hip hop,melodic rap,pop r&b",0.772,0.607,0,-6.617,1,0.639,0.259,0,0.131,0.37,85.085,4
2cEnKRR4dYBB2VA1mjlb1z,"7wlFDEWiM5OoIAt8RSli8b","Nevada","Sincerely, Kentrell","YoungBoy Never Broke Again",2021-10-05,155737,71,spotify:user:jhoserchavez2741,2022-07-03T19:55:12Z,"baton rouge rap,trap",0.777,0.59,0,-8.741,0,0.286,0.397,0,0.169,0.238,147.978,4
6LBpGdlukUARutol7VgWIS,"6l3HvQ5sa6mXTsMTB19rO5","January 28th","2014 Forest Hills Drive","J. Cole",2014-12-09,242697,65,spotify:user:jhoserchavez2741,2022-07-03T19:55:21Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.597,0.568,5,-8.559,1,0.342,0.242,0,0.0838,0.342,84.052,4
4BHSjbYylfOH5WAGusDyni,"2YZyLoL8N0Wb9xBt1NhZWg","YAH.","DAMN.","Kendrick Lamar",2017-04-14,160293,65,spotify:user:jhoserchavez2741,2022-07-03T20:00:17Z,"conscious hip hop,hip hop,rap,west coast rap",0.67,0.7,1,-7.893,1,0.196,0.576,0.00000534,0.226,0.648,69.986,4
4OkiWfrZKmmVoILXk8JEtl,"6l3HvQ5sa6mXTsMTB19rO5,3TVXtAsR1Inumwj472S9r4","In The Morning","Cole World: The Sideline Story","J. Cole,Drake",2011-09-27,234386,67,spotify:user:jhoserchavez2741,2022-07-03T20:00:32Z,"conscious hip hop,hip hop,north carolina hip hop,rap,canadian hip hop,canadian pop,toronto rap",0.44,0.671,3,-10.598,0,0.477,0.764,0,0.212,0.479,83.078,4
