Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
45yEy5WJywhJ3sDI28ajTm,"3WrFJ7ztbogyGnTHbHJFl2","Here Comes The Sun - Remastered","Abbey Road (Remastered)","The Beatles",1969-09-26,185733,0,spotify:user:candyqueen704,2019-06-20T02:40:08Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,4
2Gy7qnDwt8Z3MNxqat4CsK,"3oDbviiivRWhXwIE8hxkVV","Wouldn't It Be Nice - Remastered 2000 / Stereo Mix","Pet Sounds (Original Mono & Stereo Mix Versions)","The Beach Boys",1966-06-16,153205,72,spotify:user:candyqueen704,2019-06-20T02:40:27Z,"baroque pop,brill building pop,classic rock,psychedelic rock,rock,sunshine pop",0.392,0.629,5,-7.056,1,0.0335,0.718,0.00000376,0.129,0.72,124.511,4
3kxfsdsCpFgN412fpnW85Y,"73sIBHcqh3Z3NyqHKZ7FOL","Redbone","Awaken, My Love!","Childish Gambino",2016-12-02,326933,0,spotify:user:candyqueen704,2019-06-20T02:42:18Z,"atl hip hop,hip hop,pop,rap",0.745,0.356,1,-10.425,1,0.0941,0.172,0.00943,0.123,0.607,160.033,4
2EWpa5XnAuSn0sIkSSIhYk,"5kuJibJcwOC53s3OkoGMRA","Wish I Knew You","Men Amongst Mountains","The Revivalists",2015-07-15,274093,65,spotify:user:candyqueen704,2019-06-20T02:43:47Z,"indie folk,modern alternative rock,modern rock,rock,stomp and holler",0.649,0.718,0,-6.593,0,0.0261,0.142,0.0713,0.124,0.718,101.034,4
6ZapsNk1ZpaebNXAIohP9R,"7giUHu5pv6YTZgSkxxCcgh","Home","Up From Below","Edward Sharpe & The Magnetic Zeros",2009-07-14,303200,0,spotify:user:candyqueen704,2019-06-20T02:44:45Z,"double drumming,indie folk,la indie,stomp and holler",0.542,0.589,2,-6.623,1,0.0318,0.292,0.000522,0.177,0.137,111.665,4
0ofHAoxe9vBkTCp2UQIavz,"08GQAI4eElDnROBrJRGE0X","Dreams - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,257800,82,spotify:user:candyqueen704,2019-06-20T02:46:29Z,"album rock,classic rock,rock,soft rock,yacht rock",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
7GVUmCP00eSsqc4tzj1sDD,"0w7HLMvZOHatWVbAKee1zF","Come and Get Your Love - Single Version","Come and Get Your Love","Redbone",1973-11-01,205933,74,spotify:user:candyqueen704,2019-06-20T02:47:06Z,"native american,native american contemporary",0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,4
7tFiyTwD0nx5a1eklYtX2J,"1dfeR4HaWDbWqFHLkxsg1d","Bohemian Rhapsody - Remastered 2011","A Night At The Opera (Deluxe Remastered Version)","Queen",1975-11-21,354320,72,spotify:user:candyqueen704,2019-06-20T02:47:54Z,"classic rock,glam rock,rock",0.392,0.402,0,-9.961,0,0.0536,0.288,0,0.243,0.228,143.883,4
0n0XAmYCMWlzj3W9VdMejw,"4YZ5ECfbM2xSTSQTJGBbO5,7vtO3glDQwyFDY5cTymz4E","Happy Together (feat. Ray Toro)","Happy Together (feat. Ray Toro)","Gerard Way,Ray Toro",2019-02-08,179392,55,spotify:user:candyqueen704,2019-06-20T02:49:12Z,"modern rock",0.621,0.816,7,-4.077,1,0.0316,0.0695,0.00559,0.103,0.716,122.032,4
6jWkZvd1URGktyTTwcpPpB,"3RwQ26hR2tJtA8F9p2n7jG","My Girl","The Temptations Sing Smokey","The Temptations",1965-01-01,165000,0,spotify:user:candyqueen704,2019-06-20T02:50:00Z,"brill building pop,classic soul,funk,memphis soul,motown,soul",0.579,0.419,0,-10.72,1,0.0346,0.625,0,0.0981,0.673,104.564,4
2hnMS47jN0etwvFPzYk11f,"0EdvGhlC1FkGItLOWQzG4J","Santeria","Sublime","Sublime",1996-07-30,182746,76,spotify:user:candyqueen704,2019-06-20T02:50:46Z,"reggae fusion,ska mexicano,ska punk",0.682,0.765,1,-5.021,0,0.0395,0.0268,0.0000342,0.188,0.567,90.807,4
6txWz9UapYHVxEd7dDIHXT,"5sD1ZLf2dGQ9gQ3YJl1eAd","No Rain","Blind Melon","Blind Melon",1992-01-01,217106,75,spotify:user:candyqueen704,2019-06-20T02:51:05Z,"alternative metal,alternative rock,blues rock,grunge,pop rock,rock",0.389,0.476,9,-9.342,1,0.0316,0.619,0.0000509,0.255,0.566,148.117,4
0PDCewmZCp0P5s00bptcdd,"5tTsrGPwQRWUsHR2Xf7Ke9","This Will Be (An Everlasting Love)","Inseparable","Natalie Cole",1975-01-01,171960,72,spotify:user:candyqueen704,2019-06-20T02:51:18Z,"adult standards,lounge,mellow gold,quiet storm,vocal jazz",0.685,0.623,8,-11.146,1,0.042,0.228,0.00234,0.0295,0.896,126.739,4
5ZBeML7Lf3FMEVviTyvi8l,"3WrFJ7ztbogyGnTHbHJFl2","Twist And Shout - Remastered 2009","Please Please Me (Remastered)","The Beatles",1963-03-22,155226,74,spotify:user:candyqueen704,2019-06-20T02:52:12Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.482,0.849,2,-9.198,1,0.0452,0.641,0.00000774,0.0414,0.937,124.631,4
1EzrEOXmMH3G43AXT1y7pA,"4phGZZrJZRo4ElhRtViYdl","I'm Yours","We Sing. We Dance. We Steal Things.","Jason Mraz",2008-05-12,242946,79,spotify:user:candyqueen704,2019-06-20T02:52:19Z,"acoustic pop,neo mellow,pop,pop rock",0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4
1aj4GXfmEYXfdVZohCpNKu,"60df5JBRRPcnSpsIMxxwQm","Stand by Me","Pain in My Heart","Otis Redding",1964,172333,69,spotify:user:candyqueen704,2019-06-20T02:52:27Z,"classic soul,memphis soul,soul,soul blues,southern soul",0.883,0.464,10,-11.251,1,0.0591,0.279,0.0000151,0.0744,0.925,111.548,4
3298yRJKPcCndQdNiTZKIo,"7mEIug7XUlQHikrFxjTWes","Sweet Caroline","Sweet Caroline","Neil Diamond",1987-06-29,203573,0,spotify:user:candyqueen704,2019-06-20T02:52:48Z,"adult standards,brill building pop,classic rock,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.538,0.127,11,-16.057,1,0.0284,0.589,0.00017,0.238,0.527,62.829,4
7kWhdmRYv8CqbWNqfojqVd,"3dkbV4qihUeMsqN4vBGg93","Let's Stay Together","Let's Stay Together","Al Green",1972-01-31,199400,0,spotify:user:candyqueen704,2019-06-20T02:54:49Z,"classic soul,funk,memphis soul,quiet storm,soul,soul blues,southern soul",0.746,0.273,5,-16.63,1,0.0573,0.606,0.0168,0.0526,0.502,101.952,4
1Fzm9s6Fh1Eumj5tU4q20m,"4ogvuDRerGhZfSf7TtzHlr","What A Wonderful World","Wonderful World","Israel Kamakawiwo'ole",2007-06-26,270666,50,spotify:user:candyqueen704,2019-06-20T02:55:57Z,"hawaiian",0.536,0.279,0,-10.786,1,0.0269,0.873,0.000816,0.118,0.372,79.998,4
6MDTpYxPFL0wtFd0pjfKws,"1g1yxsNVPhMUl9GrMjEb2o","Rhythm Of Love","Wonders Of The Younger","Plain White T's",2010-01-01,200200,61,spotify:user:candyqueen704,2019-06-20T02:58:50Z,"neo mellow,pop punk,pop rock",0.531,0.542,8,-7.721,1,0.0432,0.356,0,0.119,0.726,171.878,4
1NhPKVLsHhFUHIOZ32QnS2,"5Pwc4xIPtQLFEnJriah9YJ","Secrets","Waking Up","OneRepublic",2009-01-01,224693,75,spotify:user:candyqueen704,2019-06-20T03:00:58Z,"piano rock,pop",0.516,0.764,2,-6.223,1,0.0366,0.0717,0,0.115,0.376,148.021,4
4ycLiPVzE5KamivXrAzGFG,"5nLYd9ST4Cnwy6NHaCxbj8","Fuck You","The Lady Killer","CeeLo Green",2010-11-09,222933,66,spotify:user:candyqueen704,2019-06-20T03:05:34Z,"atl hip hop",0.69,0.834,0,-5.79,1,0.0566,0.129,0,0.136,0.738,127.43,4
1j8z4TTjJ1YOdoFEDwJTQa,"74XFHRwlV6OrjEM0A2NCMF","Ain't It Fun","Paramore","Paramore",2013-04-05,296520,73,spotify:user:candyqueen704,2019-06-20T03:09:52Z,"candy pop,pixie,pop emo,pop punk",0.61,0.893,9,-3.681,1,0.0921,0.154,0.0000441,0.021,0.673,104.031,4
6l5D1WC6kR5cxaUOEyCGvs,"33QmoCkSqADuQEtMCysYLh","Sugar, Sugar","Sugar Sugar","The Archies",1968-01-15,163715,47,spotify:user:candyqueen704,2019-06-20T04:13:06Z,"brill building pop,bubblegum pop,classic canadian rock",0.78,0.524,2,-12.072,1,0.0321,0.668,0.0000647,0.293,0.953,124.181,4
05wIrZSwuaVWhcv5FfqeH0,"2TzHIUhVpeeDxyJPpQfnV3","Walking On Sunshine","Katrina & The Waves","Katrina & The Waves",1985,238733,78,spotify:user:candyqueen704,2019-06-20T04:13:13Z,"new wave pop",0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,4
754kgU5rWscRTfvlsuEwFp,"0lJlKQvuM2Sd9DPPyUXcHg","Kiss Me","Sixpence None the Richer","Sixpence None The Richer",1997-11-22,208680,77,spotify:user:candyqueen704,2019-06-20T06:09:53Z,"neo mellow,pop rock",0.526,0.749,3,-6.964,1,0.0283,0.023,0.00000176,0.0692,0.421,99.982,4
22UDw8rSfLbUsaAGTXQ4Z8,"5T0MSzX9RC5NA6gAI6irSn,5K4W6rqBFWDnAN6FQUkS6x","American Boy","Shine","Estelle,Kanye West",2008-03-28,284733,77,spotify:user:candyqueen704,2019-06-20T06:10:30Z,"neo soul,r&b,chicago rap,rap",0.727,0.729,0,-2.99,1,0.326,0.171,0,0.07,0.512,117.932,4
