Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6TZEPo10yErUtF5AtdfLY2,"37W8SKV5Vc8lcGtdyWCA5m","Tough Little Boys","See If I Care","Gary Allan",2003-01-01,237333,49,spotify:user:127247200,2017-01-27T15:05:18Z,"contemporary country,country,country road,country rock,modern country rock",0.548,0.402,2,-8.727,1,0.0247,0.698,0.000114,0.135,0.214,84.211,4
1QvCbkLDuF7yX7gIUDJUmp,"3cMyqwpNT2D8f0WuaRzzZX","Let Them Be Little","Let Them Be Little","Billy Dean",2005-03-29,225653,42,spotify:user:127247200,2017-01-27T15:06:01Z,"bluegrass gospel,country,country road,country rock",0.54,0.516,1,-5.221,1,0.0246,0.266,0,0.204,0.285,135.9,4
1sa3yP69j5i6blrZOEgnOh,"0o0rlxlC3ApLWsxFkUjMXc","Give A Little Love","Every Child Deserves A Lifetime","Ziggy Marley",2009-01-01,242186,0,spotify:user:127247200,2017-01-27T15:06:21Z,"reggae,roots reggae",0.693,0.904,9,-8.781,1,0.0535,0.644,0,0.0818,0.969,89.176,4
1MeOkwxr3KZgc1aZZJ6azZ,"319yZVtYM9MBGqmSQnMyY6","Child Of Mine","Every Child Deserves A Lifetime","Carole King",2009-01-01,223066,0,spotify:user:127247200,2017-01-27T15:06:38Z,"adult standards,brill building pop,classic rock,folk,folk rock,mellow gold,rock,singer-songwriter,soft rock",0.588,0.233,0,-7.889,1,0.0297,0.868,0,0.121,0.383,132.055,4
6Gfmj0HbpvxTdW0sdlzTDU,"0a1gHP0HAqALbEyxaD5Ngn","My Wish","Me And My Gang","Rascal Flatts",2006-01-01,248280,64,spotify:user:127247200,2017-01-27T15:27:43Z,"contemporary country,country,country road",0.548,0.769,4,-4.853,1,0.0312,0.0307,0.00000553,0.0867,0.388,135.712,4
1wJL1A0QUHJPf2cm7tsrdw,"06HL4z0CvFAxyc27GXpf02","Never Grow Up","Speak Now","Taylor Swift",2010-10-25,290466,55,spotify:user:127247200,2017-06-12T15:43:52Z,"pop",0.714,0.305,2,-8.837,1,0.0305,0.819,0,0.174,0.554,124.91,4
7GJ8aXAGdfjo2OAh6XreB6,"5J6L7N6B4nI1M5cwa29mQG","Baby Mine","A Hundred Miles Or More: A Collection","Alison Krauss",2007-01-01,217360,50,spotify:user:127247200,2017-01-27T15:27:57Z,"bluegrass,folk,lilith,progressive bluegrass,singer-songwriter",0.362,0.242,11,-11.356,1,0.0299,0.906,0.00000928,0.098,0.247,184.428,3
2IpBZKmiORC74tFhUhso6c,"4tw2Lmn9tTPUv7Gy7mVPI4","Handprints on the Wall","Back to the Well","Kenny Rogers",2003-11-23,242466,24,spotify:user:127247200,2017-01-27T15:28:02Z,"adult standards,classic country pop,country,mellow gold,nashville sound,soft rock",0.564,0.47,0,-7.403,1,0.0238,0.393,0.0000146,0.112,0.302,90.91,4
1mwCSKK0YRDsgnj2VwyZSU,"4PJHDzdFoQcklrWU18QdsU","Butterfly Kisses","Simply Bob Carlisle","Bob Carlisle",1995-06-15,340600,52,spotify:user:127247200,2017-01-27T15:28:13Z,"",0.386,0.364,0,-9.624,1,0.032,0.541,0,0.347,0.104,81.895,4
3RdVIRIXwmxBG9c6LBDo2W,"4S9EykWXhStSc15wEx8QFK","A Mother's Prayer","Miracle","Céline Dion",2004,221200,0,spotify:user:127247200,2017-01-27T15:28:26Z,"canadian pop",0.288,0.225,5,-12.835,1,0.037,0.93,0.0000447,0.1,0.0611,86.929,4
