Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7lPN2DXiMsVn7XUKtOW1CS,"1McMsnEElThX1knmY4oliG","drivers license","drivers license","Olivia Rodrigo",2021-01-08,242013,28,spotify:user:ncorreia11700,2021-01-09T05:41:42Z,"pop",0.585,0.436,10,-8.761,1,0.0601,0.721,0.0000131,0.105,0.132,143.874,4
1ZMiCix7XSAbfAJlEZWMCp,"6KImCVD70vtIoJWnq6nGn3","Falling","Fine Line","Harry Styles",2019-12-13,240133,83,spotify:user:ncorreia11700,2021-01-09T15:33:14Z,"pop",0.567,0.267,4,-6.502,1,0.0299,0.839,0.00000146,0.089,0.0592,110.011,4
1MhXdlCQPnO56T57MfmaRm,"5Rl15oVamLq7FbSb0NNBNy","Ghost Of You","Youngblood (Deluxe)","5 Seconds of Summer",2018-06-15,197411,76,spotify:user:ncorreia11700,2021-01-09T15:33:41Z,"boy band,dance pop,pop,post-teen pop,uk pop",0.458,0.561,10,-4.819,1,0.0269,0.0965,0,0.156,0.206,149.875,3
6nIE1oCE4udqMGv3bqVNVb,"4AK6F7OLvEQ5QYCBNiQWHq","Half a Heart","Midnight Memories (Deluxe)","One Direction",2013-11-25,188546,66,spotify:user:ncorreia11700,2021-01-09T18:01:30Z,"boy band,pop,post-teen pop,talent show",0.515,0.714,0,-4.516,1,0.0348,0.286,0,0.118,0.495,155.954,4
2gMXnyrvIjhVBUZwvLZDMP,"4GNC7GD6oZMSxPGyXy4MNB","Before You Go","Divinely Uninspired To A Hellish Extent (Extended Edition)","Lewis Capaldi",2019-11-22,215106,82,spotify:user:ncorreia11700,2021-01-09T18:04:15Z,"pop,uk pop",0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,4
55Am8neGJkdj2ADaM3aw5H,"4IWBUUAFIplrNtaOHcJPRM","Train Wreck","Back from the Edge","James Arthur",2016-10-28,208826,80,spotify:user:ncorreia11700,2021-01-09T18:07:21Z,"pop,talent show,uk pop",0.311,0.485,6,-5.726,0,0.0365,0.701,0,0.0726,0.225,77.355,4
7FjKU2mfpEpvKIbx8naZRk,"6dn6x1XOng3LOAnfTjUn77","Used to Be","Used to Be","AJ Mitchell",2018-05-25,174793,61,spotify:user:ncorreia11700,2021-01-09T18:08:03Z,"alt z,dance pop,electropop,pop,post-teen pop,uk pop",0.471,0.474,5,-6.355,1,0.0382,0.723,0,0.0964,0.262,120.656,4
0jdny0dhgjUwoIp5GkqEaA,"6LqNN22kT3074XbTVUrhzX","Praying","Rainbow","Kesha",2017-08-11,230266,69,spotify:user:ncorreia11700,2021-01-09T22:40:41Z,"dance pop,pop,post-teen pop",0.543,0.39,10,-7.202,1,0.0322,0.489,0,0.111,0.303,73.415,4
4Yxc55NX3tAXC2mHRAhtcW,"1McMsnEElThX1knmY4oliG,3xvaSlT4xsyk6lY1ESOspO","All I Want - From High School Musical: The Musical: The Series","All I Want (From High School Musical: The Musical: The Series)","Olivia Rodrigo,Disney",2019-11-27,177322,78,spotify:user:ncorreia11700,2021-01-10T06:52:04Z,"pop",0.376,0.43,0,-6.585,0,0.0328,0.0902,0,0.0912,0.129,77.599,3
5VEHaQwMTluOyIFRx6VrkZ,"5xkAtLTf309LAGZTbvULBn","Unsaid","Free Time","Ruel",2019-09-13,227040,51,spotify:user:ncorreia11700,2021-01-10T22:46:11Z,"australian alternative pop,dance pop,electropop,pop,post-teen pop,uk pop",0.532,0.433,11,-6.964,1,0.0933,0.385,0,0.355,0.267,77.04,4
