Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0GNVXNz7Jkicfk2mp5OyG5,"2RQXRUsr4IW1f3mKyKsy4B","Stick Season","Stick Season","Noah Kahan",2022-07-08,182346,78,spotify:user:kaitlin.bucci03,2022-07-21T19:27:00Z,"pop",0.664,0.5,9,-6.935,1,0.0651,0.799,0,0.0966,0.801,117.896,4
4yyg2J2uXOjCtCyT64984C,"6ltzsmQQbmdoHHbLZ4ZN25","Ends of the Earth","Lonesome Dreams","Lord Huron",2012-10-08,284146,67,spotify:user:kaitlin.bucci03,2022-07-21T19:27:16Z,"indie folk,stomp and holler",0.555,0.584,4,-8.667,1,0.0301,0.274,0.0228,0.254,0.41,120.965,4
0LO7f7ZJg871B8hLTRzrfB,"69tiO1fG8VWduDl3ji2qhI","Julia","Mt. Joy","Mt. Joy",2018-03-02,190453,61,spotify:user:kaitlin.bucci03,2022-07-21T19:27:24Z,"indie folk,modern rock,stomp and holler",0.566,0.412,5,-6.994,1,0.0267,0.681,0.017,0.0741,0.47,81.879,4
3wcluZHyfuTzIXHfwXVAIE,"69tiO1fG8VWduDl3ji2qhI","Strangers","Rearrange Us","Mt. Joy",2020-06-05,193186,64,spotify:user:kaitlin.bucci03,2022-07-21T19:27:28Z,"indie folk,modern rock,stomp and holler",0.564,0.636,7,-8.136,1,0.0418,0.739,0.0224,0.0807,0.218,101.913,4
0i5QVxsK3IvEDbUjTA64Li,"69tiO1fG8VWduDl3ji2qhI","Silver Lining","Mt. Joy","Mt. Joy",2018-03-02,198600,68,spotify:user:kaitlin.bucci03,2022-07-21T19:27:36Z,"indie folk,modern rock,stomp and holler",0.541,0.616,0,-6.53,1,0.028,0.00114,0.00000109,0.151,0.203,144.218,4
0hiHNxqKGf3GZgVTIOAiiK,"2RQXRUsr4IW1f3mKyKsy4B,7rrTqtOUOwva4sgTx9C9F9","Someone Like You (feat. Joy Oladokun)","I Was / I Am","Noah Kahan,Joy Oladokun",2021-09-17,186552,68,spotify:user:kaitlin.bucci03,2022-07-21T19:27:41Z,"pop,black americana,indie folk,la pop,neo mellow",0.614,0.526,5,-7.492,1,0.0603,0.468,0,0.0939,0.366,177.913,4
2XRCxFtPqSsnY94jZCFuYu,"2FXC3k01G6Gw61bmprjgqS","From Eden","Hozier","Hozier",2014-10-07,283466,55,spotify:user:kaitlin.bucci03,2022-07-21T19:27:51Z,"irish singer-songwriter,pop",0.399,0.672,0,-5.506,1,0.05,0.584,0.0000245,0.118,0.285,142.215,5
32G6qOwK5SuBEA9D6pth34,"2FXC3k01G6Gw61bmprjgqS","To Be Alone","Hozier","Hozier",2014-10-07,323640,45,spotify:user:kaitlin.bucci03,2022-07-21T19:28:04Z,"irish singer-songwriter,pop",0.576,0.443,0,-6.52,0,0.0255,0.402,0.000183,0.141,0.258,67.048,3
5in02YJDTkdfKDQjfsvxYp,"2FXC3k01G6Gw61bmprjgqS","To Noise Making (Sing)","Wasteland, Baby!","Hozier",2019-03-01,206920,51,spotify:user:kaitlin.bucci03,2022-07-21T19:28:08Z,"irish singer-songwriter,pop",0.619,0.556,0,-7.687,1,0.0806,0.133,0,0.594,0.566,99.39,4
3ekNuTF3UpOvIZCfiejpnC,"16oZKvXb6WkQlVAjwo2Wbg","Stubborn Love","The Lumineers","The Lumineers",2012-04-03,279000,69,spotify:user:kaitlin.bucci03,2022-07-21T19:28:13Z,"folk-pop,pop,stomp and holler",0.598,0.56,0,-11.679,1,0.0375,0.607,0.0432,0.196,0.221,115.01,4
2ToW7zhGCrVrLU4fiKj9U1,"16oZKvXb6WkQlVAjwo2Wbg","Cleopatra","Cleopatra","The Lumineers",2016-04-08,201413,71,spotify:user:kaitlin.bucci03,2022-07-21T19:28:18Z,"folk-pop,pop,stomp and holler",0.536,0.775,8,-6.765,1,0.0394,0.228,0.000143,0.0947,0.485,151.393,4
5MMZJtHOiH1RmQSSe3DJdg,"16oZKvXb6WkQlVAjwo2Wbg","Sleep On The Floor","Cleopatra","The Lumineers",2016-04-08,211851,70,spotify:user:kaitlin.bucci03,2022-07-21T19:28:23Z,"folk-pop,pop,stomp and holler",0.389,0.431,7,-8.061,1,0.0344,0.249,0,0.13,0.275,142.14,4
0W4Kpfp1w2xkY3PrV714B7,"16oZKvXb6WkQlVAjwo2Wbg","Ho Hey","The Lumineers","The Lumineers",2012-04-03,163133,73,spotify:user:kaitlin.bucci03,2022-07-21T19:28:27Z,"folk-pop,pop,stomp and holler",0.685,0.466,0,-9.074,1,0.0304,0.794,0.00000206,0.0915,0.353,79.936,4
6IW6mD0OrfYXXkTgdLBQ83,"2RQXRUsr4IW1f3mKyKsy4B","Cynic","Busyhead","Noah Kahan",2019-06-14,208493,56,spotify:user:kaitlin.bucci03,2022-07-21T19:28:33Z,"pop",0.784,0.692,5,-5.634,1,0.0337,0.23,0.00000107,0.325,0.962,103.008,4
1BlQWQgGP84r4GYUVty4Ar,"2RQXRUsr4IW1f3mKyKsy4B","Mess","Busyhead","Noah Kahan",2019-06-14,213320,65,spotify:user:kaitlin.bucci03,2022-07-21T19:28:37Z,"pop",0.442,0.826,10,-5.32,1,0.0775,0.176,0,0.0978,0.601,80.848,4
2Zg0aB5oVQlbQE1vzQmIIY,"2RQXRUsr4IW1f3mKyKsy4B,0ZED1XzwlLHW4ZaG4lOT6m","Hurt Somebody","Busyhead","Noah Kahan,Julia Michaels",2019-06-14,167106,67,spotify:user:kaitlin.bucci03,2022-07-21T19:28:41Z,"pop,alt z,dance pop,electropop,post-teen pop",0.638,0.51,1,-6.485,1,0.305,0.344,0,0.212,0.448,114.576,4
5ngcqrs4Xq915GUqNtNNr5,"2RQXRUsr4IW1f3mKyKsy4B","Young Blood","Busyhead","Noah Kahan",2019-06-14,208533,61,spotify:user:kaitlin.bucci03,2022-07-21T19:28:45Z,"pop",0.671,0.463,11,-8.534,1,0.0439,0.391,0,0.162,0.347,85.002,4
4JpazKcfOhbwqZrsYhzHee,"2FXC3k01G6Gw61bmprjgqS","Jackie and Wilson","Hozier (Expanded Edition)","Hozier",2014-09-19,223120,64,spotify:user:kaitlin.bucci03,2022-07-21T19:28:52Z,"irish singer-songwriter,pop",0.555,0.727,6,-4.202,1,0.0388,0.0579,0.00000752,0.0937,0.739,82.142,4
6WCbV2noO85ne1TM6UzbTT,"0wyMPXGfOuQzNR54ujR9Ix","26","26","Caamp",2018-03-09,235415,52,spotify:user:kaitlin.bucci03,2022-07-21T19:28:56Z,"indie folk,stomp and holler",0.494,0.341,2,-12.501,1,0.0508,0.662,0.000571,0.0673,0.391,171.21,4
72zmwnbXjx9fMUjw3mbDSs,"0n94vC3S9c3mb2HyNAOcjg","All We Ever Knew","Signs of Light","The Head And The Heart",2016-09-09,225560,60,spotify:user:kaitlin.bucci03,2022-07-21T19:29:00Z,"folk-pop,indie folk,seattle indie,stomp and holler",0.487,0.724,0,-5.905,1,0.0289,0.00224,0.0000103,0.213,0.546,102.03,4
6xpF0dbtDGmEd0En18Kfwl,"59sBwR0jPSTrbMtuTkRPN5","Wandering Child","Wild Rivers","Wild Rivers",2016-04-16,184426,60,spotify:user:kaitlin.bucci03,2022-07-21T19:29:06Z,"folk-pop,indie folk,indiecoustica,neo mellow,stomp and holler",0.671,0.34,2,-12.108,1,0.0351,0.793,0.00000193,0.0948,0.365,98.012,4
3nzXs8ynjIwQvmxjogvCYx,"0n94vC3S9c3mb2HyNAOcjg","Rivers and Roads","The Head And The Heart","The Head And The Heart",2011-01-11,284000,57,spotify:user:kaitlin.bucci03,2022-07-21T19:29:17Z,"folk-pop,indie folk,seattle indie,stomp and holler",0.501,0.178,0,-9.764,1,0.0343,0.697,0.0000533,0.0761,0.18,131.141,3
