Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4z5L0qDduw3w1apQ4Qa6KV,"42Np3r8zXnaKcjLQsQSjyG,2iLlfLTMiFJQ6X5rG2vgUy,4743DlrFCsAlAV4N26Kdgh","Alphabet Aerobics","A2G EP","Blackalicious,Lateef The Truthspeaker,Cut Chemist",1999-01-01,133800,52,spotify:user:candyqueen704,2019-02-05T04:30:08Z,"abstract hip hop,alternative hip hop,hip hop,turntablism,oakland hip hop,big beat,ninja,trip hop",0.65,0.515,10,-8.722,0,0.198,0.0196,0,0.0974,0.885,97.052,4
7KXjTSCq5nL1LoYtL7XAwS,"2YZyLoL8N0Wb9xBt1NhZWg","HUMBLE.","DAMN.","Kendrick Lamar",2017-04-14,177000,83,spotify:user:candyqueen704,2019-02-05T04:30:25Z,"conscious hip hop,hip hop,rap,west coast rap",0.908,0.621,1,-6.638,0,0.102,0.000282,0.0000539,0.0958,0.421,150.011,4
5KVciTEfXvpcFHR3RFbtJy,"4xRYI6VqpkE3UwrDrAZL8L,0c173mlxpT3dSFRgMO8XPh","Wassup","Bobby Tarantino II","Logic,Big Sean",2018-03-09,219480,49,spotify:user:candyqueen704,2019-02-05T04:30:43Z,"conscious hip hop,dmv rap,hip hop,pop rap,rap,detroit hip hop,pop,r&b,southern hip hop,trap",0.777,0.57,1,-6.833,1,0.0472,0.0869,0,0.121,0.321,139.993,4
22nyEAEM29tcBRhukR089b,"0xOeVMOz2fVg5BJY3N6akT","Icon","SYRE","Jaden",2017-11-17,220995,70,spotify:user:candyqueen704,2019-02-05T04:30:47Z,"hip hop,pop,rap",0.786,0.82,9,-5.093,0,0.232,0.222,0,0.575,0.49,119.982,4
430qNtapCS3Ue1yoSql1oV,"4V8LLVI7PbaPR0K2TGSxFF","I Ain't Got Time!","Flower Boy","Tyler, The Creator",2017-07-21,206266,61,spotify:user:candyqueen704,2019-02-05T04:31:03Z,"hip hop,rap",0.549,0.725,1,-7.239,1,0.397,0.0539,0.0000352,0.148,0.547,108.822,4
0q788echtkCMpQoQes4P6b,"1Bl6wpkWCQ4KVgnASpvzzA","JOHNNY","SATURATION III","BROCKHAMPTON",2017-12-15,251908,49,spotify:user:candyqueen704,2019-02-05T04:31:09Z,"boy band,hip hop,pop,rap",0.612,0.858,0,-5.359,0,0.364,0.442,0,0.205,0.869,80.352,4
6HZILIRieu8S0iqY8kIKhj,"2YZyLoL8N0Wb9xBt1NhZWg","DNA.","DAMN.","Kendrick Lamar",2017-04-14,185946,79,spotify:user:candyqueen704,2019-02-05T04:31:23Z,"conscious hip hop,hip hop,rap,west coast rap",0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,4
3xWwPvpAv1HbKFmTwf6uKR,"0xOeVMOz2fVg5BJY3N6akT,13ubrt8QOOCPljQ2FL1Kca","Breakfast (feat. A$AP Rocky)","SYRE","Jaden,A$AP Rocky",2017-11-17,184598,45,spotify:user:candyqueen704,2019-02-05T04:31:30Z,"hip hop,pop,rap,east coast hip hop",0.485,0.783,11,-7.82,0,0.623,0.346,0,0.752,0.154,159.661,4
1eLSF6HfrRA0AsNmTkUlKx,"28ExwzUQsvgJooOI0X1mr3,2YZyLoL8N0Wb9xBt1NhZWg,1RyvyyTE3xzB2ZywiAwp0i,53KwLdlmrlCelAZMaLVZqU","King's Dead (with Kendrick Lamar, Future & James Blake)","Black Panther The Album Music From And Inspired By","Jay Rock,Kendrick Lamar,Future,James Blake",2018-02-09,225266,64,spotify:user:candyqueen704,2019-02-05T04:31:39Z,"conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,west coast rap,atl hip hop,electronica,indie soul,uk alternative pop",0.566,0.724,1,-4.574,1,0.323,0.00102,0,0.158,0.407,81.774,4
0N3W5peJUQtI4eyR6GJT5O,"2YZyLoL8N0Wb9xBt1NhZWg","King Kunta","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,234693,74,spotify:user:candyqueen704,2019-02-05T04:31:48Z,"conscious hip hop,hip hop,rap,west coast rap",0.884,0.657,6,-4.569,0,0.0977,0.00589,0,0.154,0.489,107.059,4
