Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
06EtuLZGYxIH6c4C7vJuqL,"1IDCpY0CEKDu87QPVhiOtm","La La Lu","Lady and the Tramp (Original Soundtrack)","Kiersey Clemons",2019-11-12,79506,37,spotify:user:i8vyhs40ifwskhj3drgqmghs6,2022-03-09T03:05:57Z,"",0.187,0.116,5,-19.618,1,0.0443,0.933,0.0000566,0.21,0.217,181.137,4
01E4XLmGfZj86FUxmRTOGD,"0ANX5mz4DX0JwNq78AB2zj","How Does A Moment Last Forever (Music Box)","Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition)","Kevin Kline",2017-03-10,63863,51,spotify:user:i8vyhs40ifwskhj3drgqmghs6,2022-03-09T03:06:31Z,"",0.419,0.193,0,-16.376,1,0.0277,0.81,0.00585,0.121,0.306,95.004,3
4gm0nYwYCbcBWa0kbZ511e,"3nj3MfJCFFoKiRkAOW1R8c","Baby Mine (Dumbo)","Baby Mine (Dumbo)","Evynne Hollens",2019-04-26,193100,34,spotify:user:i8vyhs40ifwskhj3drgqmghs6,2022-03-09T03:10:51Z,"",0.431,0.0932,0,-15.765,1,0.0387,0.986,0.000921,0.103,0.266,77.976,4
3s6nfqfT6kyLBT10vs0M4l,"7gWjOPetXNCBqlVe6axl8K","A Dream Is a Wish Your Heart Makes","Cinderella (Original Motion Picture Soundtrack)","Lily James",2015-01-01,120546,61,spotify:user:i8vyhs40ifwskhj3drgqmghs6,2022-03-09T05:38:36Z,"hollywood",0.274,0.0724,4,-18.279,1,0.0395,0.948,0.00000145,0.0801,0.195,139.381,5
6Atf08XRK8oAs1XfAi6SPq,"35GL8Cu2GKTcHzKGi75xl5","Golden Slumbers / Carry That Weight - From Sing Original Motion Picture Soundtrack","Sing (Original Motion Picture Soundtrack / Deluxe)","Jennifer Hudson",2016-12-09,220386,46,spotify:user:i8vyhs40ifwskhj3drgqmghs6,2022-03-11T02:46:00Z,"dance pop,hip pop,hollywood,neo soul,r&b,urban contemporary",0.243,0.438,10,-7.417,1,0.0372,0.185,0.0000394,0.0942,0.179,163.787,4
29U7stRjqHU6rMiS8BfaI9,"19eLuQmk9aCobbVDHc6eek","What A Wonderful World","What A Wonderful World","Louis Armstrong",1968-01-01,139226,75,spotify:user:i8vyhs40ifwskhj3drgqmghs6,2022-03-11T02:48:11Z,"adult standards,dixieland,harlem renaissance,jazz trumpet,new orleans jazz,swing,vocal jazz",0.271,0.165,5,-20.652,1,0.0351,0.729,0.0000016,0.118,0.203,77.082,4
1WrPa4lrIddctGWAIYYfP9,"0aeRagbqQCOKkVURrvcMrn,0uxCcs6uoQy6StkrWS1QjW","When You Wish Upon a Star","Pinocchio","Cliff Edwards,Disney Studio Chorus",1992-01-01,195066,56,spotify:user:i8vyhs40ifwskhj3drgqmghs6,2022-03-11T02:50:38Z,"movie tunes,children's music,disney",0.236,0.261,2,-13.647,1,0.0374,0.955,0.0245,0.424,0.106,93.383,3
2urMIG2y7CsnH206CxykV0,"1qeo0u3hwxCBcYsn3a4kyo,259T26oxdhM7losfoXOXOl,1c4ltuRXEIo20Y9UOPxiA0","Once Upon a Dream - From Sleeping Beauty / Soundtrack Version","Disney's Greatest Volume 1","Mary Costa,Bill Shirley,Chorus - Sleeping Beauty",2001-01-01,167013,48,spotify:user:i8vyhs40ifwskhj3drgqmghs6,2022-03-11T02:52:28Z,"disney,movie tunes,french movie tunes",0.248,0.237,5,-14.186,1,0.0331,0.974,0.00043,0.111,0.208,85.141,5
3M6YfoPwvvTHK1mnCQmqHI,"69ktA9CYo2KzvtMrP7An91","Love","Walt Disney Records The Legacy Collection: Robin Hood","Nancy Adams",2017-08-04,116946,48,spotify:user:i8vyhs40ifwskhj3drgqmghs6,2022-03-11T02:56:11Z,"movie tunes",0.298,0.265,3,-15.08,1,0.0352,0.884,0.0000587,0.109,0.437,74.202,3
1EwRMgWXS9U8Oet39tlYwY,"4DovRSplr3yJIeE3r0RtHj,4lwnV2S8BCbclu9nqBPGvI","So This Is Love - From Cinderella","Disney Princess: The Ultimate Song Collection","Ilene Woods,Mike Douglas",2004-01-01,92600,54,spotify:user:i8vyhs40ifwskhj3drgqmghs6,2022-03-11T03:01:34Z,"movie tunes",0.232,0.145,4,-16.622,1,0.0373,0.898,0,0.143,0.2,88.363,1
6IepN5nR2WGxVCVNFxIgbu,"3UcnwnNwP6egaBs7DAgRdJ,0mvTBNG2hAuAEzUVgTYpQ2","Edelweiss","The Sound Of Music (50th Anniversary Edition)","Bill Lee,Charmian Carr",1965-01-01,138426,57,spotify:user:i8vyhs40ifwskhj3drgqmghs6,2022-03-11T06:11:53Z,"movie tunes,disney,hollywood",0.233,0.156,8,-17.54,1,0.0448,0.785,0.000464,0.126,0.354,56.119,4
