Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
32mVHdy0bi1XKgr0ajsBlG,"06HL4z0CvFAxyc27GXpf02","Picture To Burn","Taylor Swift","Taylor Swift",2006-10-24,173066,67,spotify:user:12128755886,2022-11-17T16:43:49Z,"pop",0.658,0.877,7,-2.098,1,0.0323,0.173,0,0.0962,0.821,105.586,4
0kN3oXYWWAk1uC0y2WoyOE,"06HL4z0CvFAxyc27GXpf02","Love Story","Fearless Platinum Edition","Taylor Swift",2008-11-11,235280,52,spotify:user:12128755886,2022-11-17T16:44:10Z,"pop",0.618,0.736,2,-3.937,1,0.0308,0.157,0,0.073,0.307,118.982,4
3as6Wz3mwbTnusWhZjTUNr,"06HL4z0CvFAxyc27GXpf02","You Belong With Me","Fearless Platinum Edition","Taylor Swift",2008-11-11,231146,52,spotify:user:12128755886,2022-11-17T16:44:16Z,"pop",0.687,0.771,6,-4.424,1,0.0384,0.164,0.0000246,0.112,0.445,129.964,4
6LZaxlycSWrJZ4Volb25qx,"06HL4z0CvFAxyc27GXpf02","Mine","Speak Now (Deluxe Edition)","Taylor Swift",2010-10-25,230706,58,spotify:user:12128755886,2022-11-17T16:44:27Z,"pop",0.624,0.757,7,-2.94,1,0.0296,0.00265,0.00000187,0.189,0.658,121.07,4
1q8E1FfFuhd12c5JcJwPxQ,"06HL4z0CvFAxyc27GXpf02","Sparks Fly","Speak Now (Deluxe Edition)","Taylor Swift",2010-10-25,260933,59,spotify:user:12128755886,2022-11-17T16:44:27Z,"pop",0.605,0.787,5,-3.002,1,0.0308,0.0396,0.00000142,0.163,0.374,114.987,4
7lxADouiWFkwR7ZV2GKUcH,"06HL4z0CvFAxyc27GXpf02","Back To December","Speak Now (Deluxe Edition)","Taylor Swift",2010-10-25,293026,59,spotify:user:12128755886,2022-11-17T16:44:27Z,"pop",0.529,0.67,2,-4.663,1,0.0303,0.117,0,0.334,0.286,141.893,4
1nYWTzy5zu3zEPNgB1sItW,"06HL4z0CvFAxyc27GXpf02","Speak Now","Speak Now (Deluxe Edition)","Taylor Swift",2010-10-25,240760,57,spotify:user:12128755886,2022-11-17T16:44:27Z,"pop",0.709,0.599,7,-3.734,1,0.0304,0.095,0,0.0973,0.735,118.975,4
1ubvV5ECkm6nSI6g1HmbBK,"06HL4z0CvFAxyc27GXpf02","Dear John","Speak Now (Deluxe Edition)","Taylor Swift",2010-10-25,403920,62,spotify:user:12128755886,2022-11-17T16:44:27Z,"pop",0.589,0.47,4,-5.32,1,0.028,0.166,0.00000145,0.112,0.102,119.386,3
4N60XfcTE1ysLZGbYgnYXq,"06HL4z0CvFAxyc27GXpf02","Mean","Speak Now (Deluxe Edition)","Taylor Swift",2010-10-25,237733,57,spotify:user:12128755886,2022-11-17T16:44:27Z,"pop",0.568,0.761,4,-3.987,1,0.0459,0.452,0,0.217,0.789,163.974,4
19tHCfzUSoy5HkpxcmbA0A,"06HL4z0CvFAxyc27GXpf02","The Story Of Us","Speak Now (Deluxe Edition)","Taylor Swift",2010-10-25,265666,57,spotify:user:12128755886,2022-11-17T16:44:27Z,"pop",0.543,0.818,4,-3.611,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898,4
