Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
358bOvBiZCS9fRzNYosw6c,"2NdeV5rLm47xAvogXrYhJX","Like a Boy","The Evolution","Ciara",2006,237053,65,spotify:user:ayslinn.zier,2021-07-31T14:19:55Z,"dance pop,hip pop,pop,post-teen pop,r&b,urban contemporary",0.701,0.724,0,-5.751,0,0.145,0.267,0,0.0867,0.425,132.035,4
29LHe8kG3PraghUZOZYsw4,"3Isy6kedDrgPYoTS1dazA9,6vWDO969PvNqNYHIOW5v0m","Baby Boy (feat. Beyoncé )","Dutty Rock","Sean Paul,Beyoncé",2002-11-12,246706,61,spotify:user:ayslinn.zier,2021-07-31T14:20:55Z,"dance pop,dancehall,pop rap,pop,r&b",0.658,0.621,1,-5.725,1,0.231,0.0667,0.00000246,0.142,0.817,91.267,4
4yHFxB8kzzeuNvoouR8N0N,"3FD9VAd0ppjmKbfxF4LzUh","Damaged","Welcome to the Dollhouse","Danity Kane",2008-03-17,244266,56,spotify:user:ayslinn.zier,2021-07-31T14:20:56Z,"dance pop,girl group,hip pop,post-teen pop,r&b,urban contemporary",0.774,0.653,8,-5.158,0,0.05,0.0912,0,0.151,0.818,120.01,4
7uKcScNXuO3MWw6LowBjW1,"2NdeV5rLm47xAvogXrYhJX,2wIVse2owClT7go1WT98tk","One, Two Step (feat. Missy Elliott)","Goodies","Ciara,Missy Elliott",2004-09-27,203786,73,spotify:user:ayslinn.zier,2021-07-31T14:20:58Z,"dance pop,hip pop,pop,post-teen pop,r&b,urban contemporary,hip hop,pop rap,rap,virginia hip hop",0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,4
7k6IzwMGpxnRghE7YosnXT,"27FGXRNruFoOdf1vP8dqcH","Me & U","Cassie (U.S. Version)","Cassie",2006-08-07,192213,74,spotify:user:ayslinn.zier,2021-07-31T14:21:07Z,"dance pop,hip pop,r&b,urban contemporary",0.803,0.454,8,-4.802,0,0.0294,0.352,0,0.0655,0.739,99.99,4
3dFwpxh2yH7C7p9BGEKLVB,"2NdeV5rLm47xAvogXrYhJX,4Js9eYwAf9rypNtV8pNSw9","Goodies (feat. Petey Pablo)","Goodies","Ciara,Petey Pablo",2004-09-27,223000,66,spotify:user:ayslinn.zier,2021-08-01T18:21:32Z,"dance pop,hip pop,pop,post-teen pop,r&b,urban contemporary,crunk,dirty south rap,north carolina hip hop,pop rap,southern hip hop",0.826,0.647,5,-6.306,0,0.0491,0.0277,0.00000152,0.298,0.872,102.017,4
3BxWKCI06eQ5Od8TY2JBeA,"6wPhSqRtPu1UhRCDX5yaDJ","Buttons","PCD","The Pussycat Dolls",2005-01-01,225560,65,spotify:user:ayslinn.zier,2021-08-01T18:21:33Z,"dance pop,girl group,pop,post-teen pop,urban contemporary",0.57,0.821,2,-4.38,1,0.267,0.178,0,0.289,0.408,210.857,4
1gZ7i4qxXkHZb1r6eioaAP,"6wPhSqRtPu1UhRCDX5yaDJ,1YfEcTuGvBQ8xSD1f53UnK","Don't Cha","PCD","The Pussycat Dolls,Busta Rhymes",2005-01-01,272080,66,spotify:user:ayslinn.zier,2021-08-01T18:21:42Z,"dance pop,girl group,pop,post-teen pop,urban contemporary,east coast hip hop,hardcore hip hop,hip hop,hip pop,pop rap,rap",0.877,0.637,1,-3.493,0,0.101,0.00516,0.0000025,0.0959,0.569,119.988,4
2aEuXA1KswHlCGPOuPmCOW,"4iHNK0tOyZPYnBU7nGAgpQ","Touch My Body","E=MC2","Mariah Carey",2008-04-15,204733,68,spotify:user:ayslinn.zier,2021-08-01T18:21:43Z,"dance pop,pop,urban contemporary",0.714,0.665,4,-7.736,0,0.0509,0.0996,0,0.226,0.842,78.515,4
7jRoWfRlLnGYEIEn4t4kbq,"3r17AfJCCUqC9Lf0OAc73G","London Bridge","The Dutchess","Fergie",2006-09-13,241306,64,spotify:user:ayslinn.zier,2021-08-01T18:21:45Z,"dance pop,pop,post-teen pop,rap,urban contemporary",0.77,0.609,1,-5.894,1,0.345,0.214,0,0.166,0.631,90.952,4
