Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Np4TICISm3J2P8nb5ywyW,"2PSJ6YriU7JsFucxACpU7Y","XXXX","Bare&Rare Pt.1","청하",2022-07-11,168000,17,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"k-pop",0.742,0.676,9,-4.682,1,0.228,0.0797,0,0.319,0.717,109.918,4
7txwhthkLlokKYKdYpGSuW,"2cFrymmkijnjDg9SS92EPM","i dont love me","in loving memory","blackbear",2022-08-26,197149,54,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"pop,pop rap",0.666,0.704,1,-5.737,0,0.0366,0.0106,0.0000111,0.348,0.418,139.972,4
2CqfyIVjyUrWOabrKxLhsb,"6XXKPxRX2WWPPtfodzpc2v","Bound","Gasoline - The 2nd Album","키",2022-08-30,184906,48,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"k-pop",0.814,0.858,4,-3.331,0,0.0569,0.099,0.00379,0.109,0.716,116.991,4
5VRXsiG9SmI3znIWtcp4FQ,"4NHQUGzhtTLFvgF5SZesLK","Suburbia","Dirt Femme","Tove Lo",2022-10-14,199071,65,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,electropop,metropopolis,pop,swedish electropop,swedish pop,swedish synthpop",0.61,0.555,6,-8.349,0,0.067,0.0839,0.0461,0.144,0.286,166.007,4
7EJ7aSNI4Ke3nBvcNoQXUw,"6k9TBCxyr4bXwZ8Y21Kwn1","Aile to Yell","Aile to Yell","TRINITYAiLE",2020-11-15,266545,27,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"shonen",0.575,0.776,11,-6.945,1,0.0422,0.00664,0.000486,0.296,0.513,149.96,4
113uABAJIYMLBS5HJa9zzV,"4ZpzgTOUAznSK70KdPbJHf,21EUYgHJLDUeG72eDEmTx4","neon (feat. PENIEL)","y?","Amber Liu,PENIEL",2021-05-07,185080,23,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"",0.798,0.566,11,-7.959,0,0.0418,0.0185,0.0000151,0.128,0.681,109.946,4
6ZXVnfb7cIIDxg1DfLCP1M,"0Riv2KnFcLZA3JSVryRg4y","Inferno","「プロメア」オリジナルサウンドトラック","Hiroyuki Sawano",2019-05-24,234053,41,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"anime score,japanese soundtrack",0.603,0.946,9,-3.82,1,0.0334,0.0042,0,0.36,0.793,125.038,4
6yFr1EttdGjMuqLEkZbVQi,"2J80qXI4NHKpq5RT3xUF7V","Higher","TOGETHER","Third Party",2019-03-15,288188,39,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"edm,electro house,pop dance,progressive electro house,progressive house",0.473,0.883,6,-6.186,1,0.0489,0.00783,0.122,0.365,0.249,126.993,4
61eyaitcIdl1jpnc6Kb8M3,"7kNqXtgeIwFtelmRjWv205","Deep End","Deep End","John Summit",2020-05-22,156210,57,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"edm,electro house,house,pop dance",0.797,0.843,1,-7.672,0,0.0442,0.00418,0.527,0.123,0.835,125.992,4
48xtaMsWbLfX8aDNzfcRqM,"5TgQ66WuWkoQ2xYxaSTnVP,47MGg5VHBSS5yHRuMGt6b0","Mixed Emotions","Second Nature","Netsky,Montell2099",2020-10-30,267906,39,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"belgian edm,dancefloor dnb,drum and bass,vapor twitch",0.59,0.754,5,-5.836,0,0.054,0.0128,0.145,0.32,0.193,172.088,4
4LG13KMyjHwWGbODoXRtH4,"5fMUXHkw8R8eOP2RNVYEZX,5czbzNZZfWpyFgZyfT3Mkk","On My Mind","Diplo (Deluxe)","Diplo,SIDEPIECE",2022-08-05,189268,29,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"edm,electro house,house,moombahton,ninja,pop,pop dance,tropical house,bass house,deep groove house",0.771,0.729,7,-6.575,1,0.0407,0.00162,0.699,0.217,0.634,123.026,4
3Q5cLvkKsHJvYltf8k7HkO,"7c0XG5cIJTrrAgEC3ULPiq,6nB0iY1cjSY1KyhYyuIIKH,5he5w2lnU9x7JFhnwcekXX,5K4W6rqBFWDnAN6FQUkS6x","Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Featuring Ty Dolla $ign","Ty Dolla $ign,FKA twigs,Skrillex,Kanye West",2020-10-22,231618,63,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,hip hop,pop,pop rap,r&b,southern hip hop,trap,trap soul,afrofuturism,alternative r&b,art pop,escape room,experimental r&b,trip hop,brostep,complextro,edm,electro,chicago rap,rap",0.818,0.598,10,-5.948,0,0.113,0.0573,0.00000132,0.634,0.331,111.052,4
28JBD8p18xNuOfyV7Cotdn,"3TVXtAsR1Inumwj472S9r4","Massive","Honestly, Nevermind","Drake",2022-06-17,336924,75,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,0.0557,124.994,3
5TzpCPx20n4hELdE9Vw6ZQ,"3CiuXDKttPUT0tWGHicFUH","Courtside","Courtside","Tim Atlas",2021-05-28,146483,68,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"indie poptimism,indie r&b,indie soul,vapor soul",0.71,0.83,0,-7.208,1,0.03,0.0518,0.00523,0.353,0.936,129.02,4
7uY8q7WQdukE0L3JcOyLQL,"2ZRQcIgzPCVaT9XKhXZIzh,1QRj3hoop9Mv5VvHQkwPEp","Caught Up (with Olivia O'Brien)","Alive","Gryffin,Olivia O'Brien",2022-11-04,173214,53,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,edm,pop,pop dance,tropical house,alt z,electropop,post-teen pop",0.7,0.822,5,-4.749,0,0.0459,0.00891,0.0000813,0.138,0.525,122.018,4
4b93D55xv3YCH5mT4p6HPn,"61lyPtntblHJvA7FMMhi7E","Ocean Drive","Duality","Duke Dumont",2020-04-17,206320,70,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"dance pop,destroy techno,edm,electro house,house,pop dance,progressive house,tropical house",0.67,0.776,8,-4.091,0,0.047,0.00388,0.000184,0.122,0.624,115.034,4
6NCtrd1Dam068OTYVEuH2z,"0Bc5jbHVZo3xLODnwVxDUd","아는 노래","아는 노래","Ahn Seung Joon",2022-11-01,287729,16,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"",0.585,0.173,7,-14.454,1,0.0303,0.882,0.00451,0.587,0.337,123.203,3
27uRFGVGrkUACe5EvS35ah,"4QPLEBNjogoJQeF9dlHM82","Riskyな彼女","REGALITY","十 龍之介 (CV.佐藤拓也)",2017-09-20,251520,31,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"shojo",0.561,0.969,1,-4.344,1,0.0614,0.0112,0,0.13,0.629,129.893,4
1euSUsk7zx85oQfpv8JpK1,"2G6zefY3cizYXTcpWNtNMP,3sw0rm6AMRKHAoFDjuYw5C","by your side","by your side","주윤하,Richard Parkers",2022-09-21,240762,17,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"korean jazz",0.493,0.616,1,-5.77,0,0.0451,0.532,0.000245,0.117,0.548,98.622,4
1rIyhhyKKKxVJ59x6LqIjx,"72Ozt64MM4zCH8IFFoFsyC","大火傷 - License To Kill -","Paradox Live -Road to Legend- Round1 “RAGE","悪漢奴等",2022-08-31,228617,39,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"j-division",0.729,0.855,10,-4.815,1,0.123,0.035,0,0.291,0.712,95.045,4
1XyL3J7eTTKnxRZAM3LqIT,"6c4sUNBgdonFJz8Kx2VsGz","Beggin (original version)","So Dark The Con Of Man","Madcon",2007-12-03,216146,70,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"dance pop,norwegian hip hop,pop rap",0.715,0.8,4,-5.144,0,0.057,0.0271,0,0.0648,0.445,129.023,4
1TMWcbxL5YF8rKsFHv5hAP,"5cj0lLjcoR7YOSnhnX0Po5","Rules","Hot Pink","Doja Cat",2019-11-07,187040,75,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,pop",0.651,0.724,7,-5.457,1,0.166,0.172,0,0.13,0.686,144.146,4
51Fjme0JiitpyXKuyQiCDo,"6USMTwO0MNDnKte5a5h0xx,41X1TR6hrK8Q2ZCpp2EqCz","Lalala","Lalala","Y2K,bbno$",2019-06-28,160626,74,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"pop rap,canadian hip hop,dark trap,vapor trap",0.843,0.39,2,-7.899,1,0.0846,0.178,0,0.137,0.495,129.972,4
6jRq8gaZhMUyy5RclRPcAf,"2cFrymmkijnjDg9SS92EPM","hot girl bummer","everything means nothing","blackbear",2020-08-21,188343,79,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"pop,pop rap",0.782,0.559,6,-7.106,0,0.0767,0.125,0,0.385,0.685,129.992,1
0pDN1sRmHSgNZesb7JTgHg,"6XXKPxRX2WWPPtfodzpc2v","G.O.A.T (Greatest Of All Time)","Gasoline - The 2nd Album","키",2022-08-30,195800,41,spotify:user:mrvoev604tzeomxu9hcucpdkf,2022-11-27T20:05:25Z,"k-pop",0.567,0.621,7,-5.759,1,0.0765,0.166,0,0.119,0.373,128.019,4
